RA (J2000),Dec (J2000)
19 35 27.509,+41 42 01.40
19 48 26.191,+41 43 25.39
19 49 07.601,+41 43 26.62
19 50 35.405,+41 45 07.99
19 50 58.286,+41 42 46.80
19 52 52.999,+41 43 13.12
19 54 50.988,+41 43 17.04
18 53 52.701,+41 51 51.58
19 01 52.369,+41 51 16.44
19 08 57.945,+41 53 52.33
19 09 58.054,+41 51 34.56
19 25 13.066,+41 50 38.90
19 26 47.851,+41 50 10.25
19 28 34.637,+41 51 39.46
19 32 13.073,+41 48 50.33
19 35 30.873,+41 51 23.22
19 50 01.188,+41 53 42.90
19 50 34.217,+41 48 58.86
19 53 19.097,+41 49 37.99
19 53 21.862,+41 49 13.19
19 54 31.846,+41 50 14.53
18 51 41.520,+41 55 28.92
18 53 30.749,+41 54 59.36
18 55 31.447,+41 58 14.84
18 58 09.809,+41 54 40.54
19 00 28.764,+41 56 45.20
19 00 36.958,+41 56 00.20
19 01 12.173,+41 54 50.29
19 01 35.498,+41 57 50.36
19 06 11.299,+41 57 53.50
19 06 58.046,+41 59 44.27
19 07 00.216,+41 59 06.14
19 07 47.453,+41 57 37.80
19 09 01.392,+41 59 59.21
19 11 50.078,+41 59 06.50
19 19 28.193,+41 55 16.36
19 19 53.079,+41 59 16.84
19 26 23.565,+41 58 44.69
19 30 52.214,+41 59 16.91
19 32 58.906,+41 56 23.35
19 33 05.066,+41 59 15.47
19 33 38.356,+41 54 56.01
19 34 22.711,+41 58 37.38
19 34 55.876,+41 54 02.98
19 36 16.963,+41 54 11.27
19 48 27.629,+41 54 32.90
19 48 59.016,+41 56 54.17
19 50 48.610,+41 59 48.70
19 52 06.732,+41 57 11.59
19 56 11.875,+41 59 08.52
18 46 49.702,+42 02 51.61
19 09 50.793,+42 00 45.04
19 12 04.658,+42 02 17.92
19 23 41.628,+42 01 28.09
19 24 11.196,+42 03 09.72
19 25 18.780,+42 02 25.55
19 27 30.089,+42 02 16.12
19 28 25.899,+42 05 19.90
19 31 54.883,+42 03 23.36
19 34 07.445,+42 01 03.50
19 34 54.792,+42 01 59.52
19 35 39.696,+42 01 13.98
19 49 58.807,+42 02 11.26
19 50 24.255,+42 05 59.17
19 50 49.711,+42 02 50.53
19 52 16.497,+42 03 05.62
19 53 35.527,+42 02 33.43
19 53 44.458,+42 01 01.60
18 46 09.386,+42 09 35.10
18 57 52.145,+42 11 17.23
18 58 47.731,+42 08 48.55
18 58 50.496,+42 07 52.00
19 06 24.384,+42 07 09.48
19 06 30.370,+42 06 06.48
19 07 34.793,+42 06 50.15
19 24 00.348,+42 08 45.17
19 25 11.429,+42 06 57.85
19 29 16.966,+42 07 48.72
19 30 33.339,+42 08 35.63
19 34 05.445,+42 06 52.52
19 38 06.310,+42 09 04.03
19 38 26.366,+42 07 27.98
19 38 28.060,+42 08 12.21
19 42 42.496,+42 06 40.88
19 42 47.881,+42 09 02.46
19 43 52.181,+42 08 01.46
19 44 42.456,+42 10 10.38
19 51 54.161,+42 10 50.48
19 52 20.916,+42 09 51.66
19 53 57.185,+42 11 27.53
19 54 50.054,+42 07 53.36
19 54 53.078,+42 07 44.90
19 55 23.822,+42 08 37.97
18 45 50.246,+42 13 50.74
18 47 26.246,+42 14 35.20
18 48 47.798,+42 13 26.15
18 57 56.304,+42 15 08.39
19 04 59.638,+42 12 52.45
19 07 19.286,+42 16 45.12
19 09 42.576,+42 12 51.59
19 15 09.403,+42 14 01.03
19 23 39.379,+42 13 21.18
19 28 49.702,+42 17 12.95
19 31 13.373,+42 17 29.90
19 31 52.063,+42 17 00.13
19 33 26.762,+42 14 08.74
19 34 17.599,+42 16 01.09
19 52 48.773,+42 17 25.76
19 52 56.866,+42 13 42.56
19 54 19.526,+42 13 30.29
18 45 52.743,+42 22 15.89
18 56 56.782,+42 22 31.69
18 59 50.450,+42 23 50.24
19 00 25.834,+42 18 53.03
19 07 16.918,+42 18 44.39
19 07 26.602,+42 21 52.13
19 07 35.323,+42 23 17.63
19 10 45.972,+42 20 10.25
19 10 47.522,+42 20 19.39
19 13 02.681,+42 19 54.59
19 23 42.859,+42 20 14.53
19 23 54.305,+42 23 39.44
19 24 35.626,+42 22 04.66
19 26 41.950,+42 23 03.01
19 27 15.242,+42 21 43.52
19 27 40.375,+42 21 24.66
19 27 46.656,+42 23 48.66
19 32 42.511,+42 22 45.77
19 41 54.802,+42 22 13.84
19 42 01.813,+42 22 39.01
19 43 32.693,+42 22 39.97
19 52 12.888,+42 19 04.37
19 54 00.005,+42 22 01.63
19 55 09.785,+42 21 12.24
18 44 57.293,+42 25 51.49
18 45 51.473,+42 26 57.37
18 47 10.730,+42 28 26.36
18 50 36.597,+42 26 10.75
19 09 49.647,+42 27 40.82
19 13 22.778,+42 28 41.63
19 23 46.771,+42 26 45.06
19 25 05.794,+42 25 00.23
19 25 30.598,+42 25 02.71
19 25 59.801,+42 25 40.26
19 26 24.331,+42 29 04.92
19 29 23.482,+42 28 10.78
19 31 21.581,+42 27 31.54
19 33 26.093,+42 24 53.10
19 34 02.736,+42 28 12.72
19 40 46.946,+42 25 01.45
19 42 27.543,+42 27 12.82
19 42 59.422,+42 24 05.87
19 53 11.566,+42 26 03.73
19 53 20.933,+42 25 58.48
19 54 41.318,+42 25 52.33
19 54 44.208,+42 24 45.86
18 43 56.887,+42 31 14.09
18 49 26.335,+42 31 29.82
18 49 45.297,+42 35 55.97
19 03 46.903,+42 32 14.42
19 05 12.470,+42 32 59.21
19 05 31.822,+42 30 13.61
19 07 40.329,+42 32 58.24
19 15 41.475,+42 32 53.09
19 15 45.780,+42 33 35.32
19 24 22.500,+42 30 28.66
19 24 45.271,+42 35 26.56
19 25 01.870,+42 34 48.50
19 27 17.637,+42 30 58.36
19 27 51.866,+42 32 05.32
19 31 29.388,+42 30 11.23
19 31 58.562,+42 31 43.64
19 41 00.547,+42 30 03.16
19 45 35.491,+42 33 01.30
19 46 48.458,+42 30 31.14
18 43 19.212,+42 36 21.89
18 43 47.844,+42 36 05.40
18 44 09.717,+42 40 46.63
18 45 25.550,+42 40 52.21
19 09 39.974,+42 38 55.43
19 14 31.800,+42 40 56.96
19 15 20.405,+42 38 55.54
19 24 40.687,+42 38 26.92
19 25 01.596,+42 38 28.00
19 26 20.181,+42 37 19.85
19 27 05.126,+42 40 16.50
19 27 58.982,+42 37 10.74
19 28 48.593,+42 38 09.28
19 29 18.809,+42 38 51.33
19 31 50.174,+42 37 19.24
19 45 12.036,+42 40 47.71
19 48 56.383,+42 41 10.14
19 48 58.450,+42 36 37.04
19 49 31.750,+42 40 29.06
18 43 36.000,+42 46 27.59
18 44 08.957,+42 43 24.56
18 46 34.625,+42 45 33.62
18 50 31.073,+42 43 15.17
18 53 01.783,+42 45 45.29
18 53 17.069,+42 42 49.21
18 58 08.998,+42 43 10.13
19 13 21.482,+42 43 37.27
19 15 52.870,+42 46 55.49
19 17 28.666,+42 46 55.42
19 25 21.007,+42 45 25.31
19 26 36.881,+42 43 58.58
19 27 02.769,+42 45 23.90
19 28 10.625,+42 45 07.70
19 35 03.624,+42 47 13.27
19 35 19.258,+42 42 06.19
19 35 57.650,+42 46 23.09
19 36 06.086,+42 42 55.40
19 39 41.748,+42 47 04.96
19 39 56.515,+42 43 39.61
19 40 22.224,+42 47 08.77
19 41 05.050,+42 44 43.58
19 45 27.554,+42 42 47.66
19 47 14.258,+42 47 43.22
19 49 34.785,+42 46 00.23
18 44 07.695,+42 51 45.00
18 44 23.384,+42 50 01.12
18 45 09.684,+42 53 53.41
18 47 39.674,+42 48 27.40
18 50 48.869,+42 49 13.94
19 02 39.823,+42 48 51.30
19 03 53.806,+42 48 35.10
19 06 49.990,+42 50 29.00
19 06 51.451,+42 50 49.09
19 10 17.083,+42 48 50.11
19 10 19.106,+42 49 24.56
19 14 51.446,+42 51 08.24
19 28 17.983,+42 48 34.52
19 30 31.204,+42 49 45.61
19 32 05.772,+42 53 07.94
19 41 48.883,+42 51 31.68
19 42 17.798,+42 48 23.18
19 48 49.594,+42 50 41.14
19 50 56.604,+42 49 13.98
18 44 02.731,+42 55 14.48
18 44 53.167,+42 58 37.70
18 45 44.122,+42 56 46.50
18 48 13.373,+42 59 08.74
18 53 10.958,+42 58 59.45
18 53 58.618,+42 54 53.75
18 55 10.606,+42 58 46.81
19 02 59.155,+42 56 45.92
19 26 43.879,+42 55 58.12
19 26 54.550,+42 54 32.54
19 32 11.789,+42 55 09.23
19 34 02.222,+42 58 39.11
19 35 44.851,+42 57 41.62
19 41 29.594,+42 55 59.70
19 45 29.981,+42 58 25.00
19 47 12.811,+42 57 20.74
19 47 27.156,+42 57 10.55
19 48 59.606,+42 56 11.47
19 50 57.585,+42 57 09.25
18 41 02.583,+43 05 35.27
18 42 05.122,+43 04 37.45
18 42 19.983,+43 01 41.02
18 42 53.489,+43 03 55.69
18 48 51.182,+43 02 12.52
18 50 46.586,+43 04 55.60
18 51 23.786,+43 05 38.69
18 51 34.769,+43 04 53.72
18 52 01.632,+43 02 17.27
18 53 41.447,+43 03 15.70
19 03 29.002,+43 02 46.36
19 04 01.210,+43 03 53.24
19 04 47.050,+43 05 31.81
19 04 57.449,+43 05 52.48
19 08 25.764,+43 05 18.53
19 11 10.918,+43 04 59.81
19 15 29.494,+43 05 09.17
19 28 33.043,+43 05 41.24
19 30 24.288,+43 03 01.15
19 31 27.211,+43 02 04.60
19 32 24.564,+43 04 29.60
19 32 37.323,+43 01 30.97
19 34 28.728,+43 03 37.37
19 42 45.202,+43 02 00.53
19 42 56.559,+43 02 31.70
19 42 59.369,+43 00 54.94
19 44 51.878,+43 04 16.14
19 47 03.718,+43 04 31.40
19 49 21.933,+43 00 28.48
18 53 08.542,+43 09 42.62
18 54 36.857,+43 11 33.04
19 02 36.819,+43 06 22.07
19 04 18.413,+43 08 51.68
19 10 40.939,+43 11 50.06
19 32 19.205,+43 10 31.84
19 34 34.819,+43 11 05.14
19 41 44.061,+43 11 02.98
19 43 20.414,+43 07 43.54
19 43 24.775,+43 10 45.34
19 47 53.498,+43 07 50.41
19 53 00.345,+43 06 55.80
18 42 20.016,+43 16 50.92
18 45 13.075,+43 13 55.31
18 45 22.500,+43 15 20.05
18 45 49.209,+43 13 36.73
18 50 12.566,+43 12 55.73
18 50 52.129,+43 15 37.35
18 52 46.788,+43 17 53.92
18 54 16.978,+43 15 20.74
18 55 46.951,+43 14 32.39
19 01 00.926,+43 14 58.81
19 11 53.731,+43 17 09.06
19 19 27.206,+43 14 27.13
19 22 02.637,+43 15 09.76
19 33 33.521,+43 12 48.06
19 42 57.341,+43 13 56.24
19 45 29.114,+43 17 55.39
19 50 13.452,+43 15 36.43
19 51 38.117,+43 13 42.74
19 52 00.369,+43 13 52.14
18 51 11.753,+43 22 12.25
18 53 56.666,+43 23 14.68
18 55 40.212,+43 19 05.23
18 56 08.686,+43 18 04.07
19 01 48.401,+43 18 49.93
19 02 53.988,+43 19 37.99
19 05 33.413,+43 22 31.51
19 19 44.810,+43 22 13.69
19 31 28.925,+43 22 51.38
19 32 01.805,+43 20 12.84
19 33 35.496,+43 18 19.37
19 39 50.613,+43 19 35.51
19 41 33.615,+43 18 36.94
19 45 30.974,+43 18 51.62
19 48 53.054,+43 20 19.86
19 55 53.323,+43 20 48.48
18 39 43.517,+43 26 17.23
18 40 25.467,+43 25 13.48
18 42 26.618,+43 24 26.50
18 42 36.442,+43 28 44.72
18 45 09.670,+43 24 48.02
19 05 25.922,+43 24 46.76
19 11 08.818,+43 24 40.90
19 13 07.582,+43 24 57.85
19 18 45.177,+43 24 01.55
19 18 48.448,+43 29 42.02
19 18 56.460,+43 28 21.61
19 19 31.752,+43 26 06.72
19 21 34.970,+43 28 24.13
19 22 03.331,+43 24 55.69
19 23 09.048,+43 26 34.98
19 24 13.378,+43 27 55.30
19 39 33.859,+43 27 23.90
19 40 23.489,+43 24 32.51
19 40 46.001,+43 29 55.07
19 44 14.283,+43 27 59.04
19 46 31.320,+43 28 34.54
19 47 14.280,+43 27 03.06
19 48 26.990,+43 24 19.94
19 48 49.190,+43 25 55.49
19 49 38.450,+43 27 23.08
19 51 16.487,+43 26 55.19
19 51 37.764,+43 24 19.58
19 52 01.620,+43 28 10.88
18 46 14.246,+43 32 48.34
18 50 15.223,+43 35 29.54
18 53 56.683,+43 35 57.41
18 59 09.473,+43 33 49.50
19 11 09.948,+43 34 15.17
19 22 34.087,+43 30 19.98
19 23 06.446,+43 34 22.22
19 23 34.634,+43 31 59.27
19 33 15.437,+43 33 57.24
19 37 22.695,+43 33 17.52
19 43 39.831,+43 30 33.55
19 47 57.888,+43 30 21.89
19 48 22.186,+43 32 50.06
19 57 33.156,+43 31 07.07
18 38 57.653,+43 39 57.13
18 43 18.511,+43 37 00.70
18 48 19.191,+43 36 13.72
18 49 55.013,+43 36 16.96
18 51 16.044,+43 38 24.76
18 53 18.730,+43 37 58.30
18 59 47.458,+43 39 41.22
19 03 35.726,+43 36 12.42
19 08 01.865,+43 40 39.86
19 08 29.890,+43 36 00.43
19 11 36.941,+43 41 36.17
19 22 10.109,+43 41 25.55
19 22 42.417,+43 36 01.04
19 22 48.886,+43 36 25.96
19 26 02.825,+43 40 55.52
19 27 22.219,+43 36 17.82
19 27 30.334,+43 40 40.01
19 27 30.938,+43 38 40.74
19 38 31.831,+43 36 40.54
19 40 09.041,+43 37 16.39
19 44 20.746,+43 41 01.86
19 46 21.262,+43 36 23.47
19 47 21.782,+43 38 49.63
19 48 28.380,+43 36 15.01
19 55 04.390,+43 41 44.74
19 58 10.622,+43 41 47.90
19 59 26.801,+43 37 02.75
19 59 50.986,+43 41 37.64
18 42 55.255,+43 42 09.36
18 48 16.222,+43 47 37.97
18 48 50.604,+43 43 38.78
18 51 15.127,+43 43 33.71
18 51 55.515,+43 43 10.13
18 52 15.907,+43 44 36.92
18 53 40.121,+43 43 27.23
18 54 20.326,+43 42 02.27
18 54 22.630,+43 46 41.38
18 54 24.310,+43 44 00.71
18 58 41.846,+43 45 48.31
18 59 21.225,+43 46 11.21
18 59 55.068,+43 47 41.89
19 08 47.666,+43 47 42.58
19 12 58.729,+43 42 19.89
19 19 19.296,+43 43 25.00
19 37 02.918,+43 47 15.47
19 38 11.467,+43 47 14.39
19 38 59.273,+43 42 51.80
19 40 28.239,+43 47 44.59
19 45 50.095,+43 45 42.01
19 46 55.942,+43 46 16.21
19 46 57.638,+43 45 04.21
19 47 33.490,+43 43 48.54
19 48 39.446,+43 46 04.51
19 58 10.726,+43 42 50.15
19 58 20.575,+43 43 03.50
19 59 04.771,+43 47 48.88
20 00 29.700,+43 42 22.36
20 00 58.450,+43 45 30.60
18 47 57.688,+43 52 29.90
18 48 20.491,+43 48 09.61
18 49 05.971,+43 49 44.29
18 50 52.371,+43 49 54.41
18 52 50.431,+43 49 42.28
19 00 51.422,+43 51 10.87
19 09 08.666,+43 52 28.81
19 12 04.078,+43 48 06.12
19 23 52.584,+43 48 50.90
19 24 20.388,+43 48 41.11
19 27 41.619,+43 53 19.21
19 28 40.390,+43 52 38.42
19 36 19.534,+43 49 26.51
19 37 35.890,+43 53 09.20
19 39 30.099,+43 52 31.37
19 44 26.059,+43 51 06.95
19 48 45.199,+43 51 50.80
19 55 08.061,+43 51 17.39
19 59 00.506,+43 48 37.80
19 59 08.199,+43 51 34.78
20 00 47.107,+43 52 06.35
18 41 41.215,+43 54 19.01
18 42 14.541,+43 57 21.81
18 46 11.136,+43 55 57.18
18 59 36.722,+43 57 14.26
19 08 46.519,+43 54 37.62
19 10 19.130,+43 56 07.76
19 10 30.871,+43 58 44.36
19 12 44.681,+43 59 59.57
19 17 17.409,+43 55 53.90
19 23 07.565,+43 58 31.55
19 23 39.009,+43 55 47.60
19 27 31.644,+43 58 23.41
19 27 41.328,+43 58 21.58
19 42 14.655,+43 59 40.99
19 43 48.471,+43 55 16.61
19 44 23.997,+43 55 41.99
19 46 07.251,+43 55 46.78
19 46 52.255,+43 57 10.58
19 48 08.597,+43 55 15.10
19 49 55.884,+43 57 21.96
19 50 07.882,+43 58 38.86
19 55 28.109,+43 56 29.08
19 55 29.575,+43 59 26.30
19 56 29.458,+43 55 08.22
20 01 51.715,+43 59 01.75
18 41 23.741,+44 03 00.94
18 48 07.579,+44 03 32.29
18 49 00.516,+44 01 51.35
18 51 35.568,+44 05 18.13
19 01 05.587,+44 05 18.02
19 10 55.651,+44 05 48.08
19 18 16.661,+44 05 42.90
19 18 33.883,+44 03 17.78
19 19 02.690,+44 02 02.69
19 21 38.436,+44 03 48.74
19 22 39.905,+44 00 44.96
19 23 21.098,+44 05 58.96
19 24 47.737,+44 00 08.15
19 26 39.254,+44 04 34.36
19 31 22.591,+44 05 01.43
19 31 30.055,+44 05 23.39
19 36 43.548,+44 00 40.72
19 39 43.296,+44 01 44.44
19 49 49.656,+44 03 51.91
19 54 33.142,+44 04 04.22
19 54 36.374,+44 03 03.96
19 55 35.227,+44 00 43.31
19 59 24.672,+44 01 31.07
19 59 56.717,+44 03 06.52
18 41 42.043,+44 06 09.14
18 46 33.122,+44 08 44.88
18 51 40.399,+44 09 22.39
18 52 07.301,+44 09 22.25
18 52 30.166,+44 11 35.66
18 57 29.570,+44 10 14.45
18 57 42.775,+44 09 31.79
18 57 49.349,+44 06 55.66
19 10 22.831,+44 11 06.64
19 11 08.448,+44 06 54.47
19 17 26.071,+44 10 33.74
19 23 58.528,+44 08 06.53
19 25 29.448,+44 11 46.36
19 29 29.477,+44 09 44.50
19 39 50.652,+44 06 50.65
19 43 15.226,+44 09 40.39
19 43 36.422,+44 07 15.64
19 45 02.047,+44 07 39.54
19 46 01.974,+44 09 26.60
19 46 02.383,+44 06 50.44
19 46 31.080,+44 07 38.78
19 49 26.239,+44 11 51.47
19 55 29.978,+44 07 30.54
19 56 27.667,+44 10 30.53
19 59 04.142,+44 09 38.30
20 00 09.053,+44 11 32.35
20 01 18.956,+44 09 04.02
20 04 47.006,+44 06 55.48
18 47 36.830,+44 15 24.88
18 49 53.685,+44 14 27.49
18 51 25.639,+44 14 45.96
18 51 29.563,+44 12 46.94
18 52 00.713,+44 17 03.23
18 57 46.411,+44 12 00.72
18 58 32.789,+44 14 28.10
19 00 04.802,+44 14 56.98
19 08 50.847,+44 15 43.21
19 11 44.815,+44 15 40.97
19 20 03.994,+44 12 48.60
19 20 56.887,+44 16 29.50
19 23 03.636,+44 17 59.57
19 23 13.915,+44 16 15.71
19 24 18.569,+44 13 58.91
19 30 30.197,+44 12 54.40
19 43 03.374,+44 14 44.02
19 44 00.883,+44 16 39.22
19 45 40.212,+44 17 01.72
19 47 29.570,+44 14 28.82
19 54 32.882,+44 13 29.06
19 56 51.946,+44 13 24.13
19 58 47.340,+44 16 06.92
20 01 33.182,+44 14 21.08
20 04 46.867,+44 13 43.07
18 52 03.257,+44 18 56.09
19 00 09.787,+44 23 58.74
19 00 52.862,+44 18 24.98
19 01 42.730,+44 19 18.70
19 02 03.101,+44 21 55.40
19 10 46.779,+44 19 44.04
19 19 39.122,+44 19 58.76
19 27 42.898,+44 20 39.73
19 29 39.773,+44 22 36.62
19 30 02.693,+44 22 52.43
19 38 40.430,+44 19 43.28
19 43 30.965,+44 22 16.46
19 45 16.716,+44 23 51.04
19 45 20.405,+44 20 15.58
19 45 22.802,+44 20 01.25
19 46 39.408,+44 22 09.66
19 54 31.771,+44 20 46.36
19 55 57.780,+44 23 37.64
19 56 18.403,+44 23 10.10
19 58 34.162,+44 23 14.68
20 00 50.422,+44 23 33.18
20 06 43.385,+44 18 21.60
18 46 39.219,+44 26 03.44
18 47 51.831,+44 24 07.24
18 50 32.825,+44 27 53.64
19 00 02.146,+44 27 54.97
19 06 10.620,+44 28 52.90
19 17 40.114,+44 29 24.79
19 21 10.039,+44 27 37.37
19 22 13.778,+44 28 38.89
19 25 03.501,+44 29 09.24
19 29 00.218,+44 27 33.70
19 30 25.699,+44 29 02.08
19 40 28.826,+44 25 40.66
19 44 25.070,+44 27 37.01
19 49 05.035,+44 25 58.84
19 53 56.796,+44 26 36.46
19 55 30.751,+44 26 08.02
19 57 44.057,+44 24 38.16
19 57 46.135,+44 25 05.23
20 00 52.646,+44 28 46.27
20 04 17.630,+44 25 19.88
18 45 47.709,+44 31 14.88
18 48 08.410,+44 30 51.95
18 54 45.814,+44 34 18.08
19 00 19.634,+44 35 03.80
19 16 11.046,+44 34 12.39
19 21 09.569,+44 33 22.00
19 25 57.984,+44 35 34.01
19 26 22.629,+44 34 36.80
19 28 10.898,+44 33 19.84
19 30 11.988,+44 30 40.79
19 35 00.053,+44 35 24.36
19 45 12.417,+44 32 32.39
19 45 40.505,+44 35 32.82
19 53 13.377,+44 33 33.73
19 55 25.010,+44 32 38.47
19 56 36.269,+44 35 48.95
19 57 18.389,+44 34 32.63
19 57 18.857,+44 34 40.40
19 58 38.093,+44 31 13.04
20 00 24.538,+44 32 50.00
20 00 32.494,+44 35 43.33
20 01 25.147,+44 31 51.57
20 02 33.317,+44 31 58.98
20 03 33.875,+44 30 55.75
18 47 41.971,+44 41 34.84
18 48 49.205,+44 40 07.90
18 54 51.242,+44 36 56.20
18 56 08.381,+44 41 13.96
19 00 12.060,+44 37 01.27
19 00 49.622,+44 40 26.58
19 01 58.178,+44 38 50.35
19 02 10.899,+44 39 17.89
19 19 22.577,+44 40 40.76
19 21 43.677,+44 40 48.04
19 33 42.699,+44 41 43.94
19 42 17.609,+44 36 02.52
19 44 56.465,+44 39 21.46
19 47 24.186,+44 41 14.70
19 47 51.213,+44 36 51.73
19 52 24.605,+44 37 12.32
19 53 37.054,+44 38 59.35
19 54 06.559,+44 38 35.16
19 54 39.046,+44 40 05.09
19 54 44.834,+44 40 34.00
19 55 17.431,+44 37 00.55
19 56 53.186,+44 41 37.93
20 01 07.493,+44 40 37.88
20 02 49.377,+44 38 41.14
20 03 54.953,+44 38 28.43
20 04 13.941,+44 39 31.18
20 05 09.917,+44 37 05.02
20 06 04.906,+44 40 34.21
20 06 07.495,+44 41 24.76
18 46 28.779,+44 44 38.83
18 53 46.212,+44 47 54.53
18 54 10.241,+44 43 36.23
18 57 09.101,+44 45 31.32
18 57 17.518,+44 46 26.00
19 00 24.605,+44 45 51.73
19 01 18.089,+44 44 11.04
19 03 04.625,+44 46 14.34
19 04 57.720,+44 47 47.18
19 07 25.745,+44 45 59.00
19 14 49.442,+44 42 04.50
19 16 18.005,+44 44 52.66
19 21 50.832,+44 42 19.69
19 23 58.514,+44 43 36.73
19 27 59.587,+44 42 02.99
19 29 05.981,+44 46 13.08
19 43 17.702,+44 47 45.28
19 47 10.029,+44 44 19.25
19 48 01.344,+44 46 26.18
19 51 56.318,+44 46 29.14
19 52 52.533,+44 47 27.49
19 53 05.252,+44 44 13.79
19 54 50.462,+44 45 51.41
19 56 07.922,+44 43 40.22
19 56 37.090,+44 43 49.08
19 57 28.963,+44 46 01.42
19 59 21.830,+44 46 40.98
20 00 15.578,+44 44 58.49
20 00 54.073,+44 42 12.69
20 01 19.999,+44 42 44.86
20 02 05.889,+44 46 27.01
20 03 08.429,+44 42 16.26
20 03 41.594,+44 45 57.92
20 03 42.638,+44 47 00.20
20 05 18.463,+44 46 59.66
20 06 01.575,+44 42 42.63
18 59 31.214,+44 48 23.69
19 03 16.870,+44 50 09.53
19 03 22.817,+44 49 04.33
19 08 07.454,+44 49 42.85
19 19 49.865,+44 51 06.62
19 27 03.530,+44 53 40.02
19 28 30.353,+44 53 45.64
19 33 02.625,+44 52 08.00
19 35 13.610,+44 52 02.46
19 46 17.825,+44 49 39.50
19 47 18.830,+44 48 07.60
19 55 29.453,+44 48 24.80
19 58 56.230,+44 53 40.96
19 59 14.491,+44 48 45.58
19 59 25.332,+44 52 31.40
19 59 54.398,+44 48 16.27
20 01 29.508,+44 49 13.48
20 04 16.788,+44 52 34.90
20 04 39.036,+44 51 41.58
18 57 07.807,+44 59 14.03
18 57 19.659,+44 54 35.03
18 58 00.839,+44 59 58.42
18 59 50.906,+44 59 37.72
19 01 59.515,+44 56 10.43
19 02 15.307,+44 56 17.48
19 03 19.697,+44 58 59.77
19 04 50.671,+44 55 23.48
19 05 45.243,+44 58 44.69
19 16 57.571,+44 59 36.89
19 26 48.454,+44 57 15.98
19 34 44.184,+44 58 00.23
19 37 31.488,+44 57 29.05
19 37 39.324,+44 58 09.05
19 37 54.489,+44 59 21.67
19 37 57.924,+44 58 52.10
19 38 09.300,+44 54 04.03
19 39 43.452,+44 56 13.92
19 46 44.680,+44 57 06.83
19 47 11.619,+44 54 11.30
19 53 48.602,+44 57 05.15
20 01 08.666,+44 54 26.50
18 47 58.635,+45 00 14.00
18 53 42.293,+45 05 47.76
18 54 25.267,+45 02 50.75
18 54 37.113,+45 01 38.21
19 00 05.685,+45 02 36.69
19 01 21.370,+45 03 19.66
19 23 27.237,+45 02 57.37
19 26 23.690,+45 05 55.54
19 26 37.886,+45 05 44.59
19 26 49.183,+45 02 38.44
19 37 37.210,+45 03 55.15
19 37 56.743,+45 04 55.70
19 40 21.667,+45 04 52.25
19 45 55.714,+45 01 00.84
19 46 38.898,+45 00 58.59
19 52 30.357,+45 00 27.22
19 55 16.308,+45 04 46.38
19 58 45.245,+45 00 45.00
20 00 35.798,+45 00 26.17
20 01 08.943,+45 04 23.27
20 03 26.234,+45 01 19.27
18 51 51.862,+45 11 30.66
18 53 27.849,+45 11 26.74
18 54 38.484,+45 09 28.40
19 01 30.979,+45 10 32.48
19 01 38.273,+45 06 05.33
19 07 35.184,+45 06 02.95
19 16 16.392,+45 09 10.69
19 17 30.394,+45 10 19.74
19 19 55.668,+45 07 39.50
19 22 56.484,+45 11 53.48
19 23 02.882,+45 11 31.78
19 24 15.365,+45 10 19.31
19 36 40.846,+45 09 45.32
19 38 24.216,+45 10 10.67
19 40 44.551,+45 09 29.41
19 46 57.929,+45 07 10.85
19 54 45.655,+45 08 30.52
19 56 09.043,+45 08 07.19
19 59 35.146,+45 07 52.68
20 01 01.553,+45 09 02.74
20 01 10.150,+45 09 04.54
20 01 35.181,+45 08 47.62
20 03 33.746,+45 07 47.82
18 53 00.055,+45 14 33.61
18 56 10.334,+45 12 15.91
18 58 11.659,+45 14 35.77
19 02 09.902,+45 16 39.40
19 02 41.277,+45 13 07.10
19 03 07.538,+45 13 36.52
19 04 48.588,+45 13 28.78
19 18 05.311,+45 17 00.53
19 19 24.533,+45 12 05.15
19 20 19.224,+45 14 32.50
19 25 29.535,+45 14 52.62
19 26 02.054,+45 17 50.24
19 32 50.928,+45 14 59.75
19 34 58.090,+45 13 35.52
19 38 13.019,+45 15 27.76
19 42 25.349,+45 15 36.04
19 43 13.346,+45 17 56.80
19 50 58.980,+45 12 22.07
19 51 26.347,+45 15 54.54
19 55 29.830,+45 16 33.42
20 02 35.945,+45 17 12.59
20 03 07.697,+45 14 54.46
20 03 20.585,+45 15 31.36
20 03 56.753,+45 17 30.44
18 51 23.227,+45 22 21.83
18 54 56.311,+45 20 16.62
18 56 53.326,+45 18 03.56
18 58 31.445,+45 20 47.36
19 00 49.795,+45 23 03.66
19 01 39.831,+45 20 12.84
19 02 26.254,+45 18 33.05
19 02 28.133,+45 23 59.93
19 02 45.902,+45 20 59.35
19 04 18.682,+45 21 57.13
19 05 03.401,+45 18 14.11
19 06 01.678,+45 22 00.44
19 18 02.909,+45 23 38.62
19 23 31.493,+45 23 21.82
19 27 34.834,+45 20 57.73
19 32 14.607,+45 18 38.48
19 33 51.422,+45 18 26.93
19 34 11.935,+45 21 41.51
19 36 35.690,+45 22 15.10
19 37 53.501,+45 23 22.99
19 52 29.837,+45 21 28.80
19 54 40.971,+45 19 09.01
19 57 56.506,+45 21 40.07
19 58 44.109,+45 18 02.34
19 59 06.019,+45 18 17.39
20 00 52.133,+45 21 21.96
