RA (J2000),Dec (J2000)
19 50 55.985,+45 10 44.54
19 54 56.942,+45 06 27.65
20 00 33.847,+45 06 48.67
20 00 43.743,+45 10 27.34
20 00 59.537,+45 06 33.52
20 00 59.649,+45 07 43.50
20 01 10.150,+45 09 04.54
20 03 12.129,+45 09 53.89
18 58 18.106,+45 12 40.43
19 17 41.277,+45 14 01.90
19 34 53.037,+45 17 53.56
19 56 11.602,+45 13 24.06
19 56 38.613,+45 13 49.98
19 00 22.356,+45 20 02.15
19 02 26.323,+45 21 16.31
19 22 32.916,+45 22 51.92
19 32 30.682,+45 21 49.32
19 33 31.185,+45 18 49.86
19 35 11.638,+45 23 44.20
19 41 50.561,+45 22 56.35
19 43 11.294,+45 22 23.48
19 43 52.536,+45 22 28.16
19 53 39.754,+45 18 41.69
19 57 58.306,+45 20 33.29
19 35 17.055,+45 27 09.83
19 39 24.011,+45 27 34.69
19 51 29.671,+45 27 57.38
20 01 13.426,+45 27 36.79
20 02 03.418,+45 24 21.78
20 02 31.790,+45 29 37.93
20 02 43.462,+45 25 11.96
20 03 33.679,+45 24 12.35
18 51 48.686,+45 35 35.84
19 14 11.602,+45 34 59.12
19 25 10.632,+45 33 09.68
19 44 33.977,+45 35 59.93
19 55 57.401,+45 31 38.46
19 56 56.979,+45 34 51.67
19 57 20.556,+45 31 16.00
19 57 25.404,+45 33 05.51
19 57 45.408,+45 33 35.24
19 58 12.806,+45 31 19.38
19 58 35.976,+45 35 33.94
20 02 54.096,+45 35 45.99
18 52 54.444,+45 41 51.79
18 55 10.039,+45 41 32.75
19 02 20.827,+45 36 52.20
19 22 12.773,+45 40 27.88
19 37 28.495,+45 37 07.02
19 56 49.599,+45 38 43.69
19 57 11.782,+45 41 46.46
19 58 35.126,+45 41 40.06
20 00 08.518,+45 41 29.98
20 00 30.319,+45 38 00.78
20 00 58.433,+45 39 19.12
20 01 57.446,+45 37 15.56
19 03 29.887,+45 47 50.21
19 10 22.454,+45 43 18.66
19 43 44.412,+45 46 50.05
19 53 49.649,+45 45 30.60
19 58 33.871,+45 44 16.40
19 58 43.848,+45 42 40.79
18 54 08.345,+45 50 02.94
18 56 24.209,+45 50 50.64
19 01 24.192,+45 49 47.86
19 10 29.095,+45 51 53.21
19 14 57.057,+45 48 04.72
19 22 26.112,+45 50 49.85
19 24 12.650,+45 50 06.47
19 31 25.217,+45 52 17.80
19 41 26.545,+45 48 43.71
19 41 26.866,+45 53 53.12
19 44 05.273,+45 53 58.06
19 44 22.790,+45 53 51.94
19 56 51.461,+45 53 12.37
18 55 05.933,+45 54 38.99
18 57 46.692,+45 54 53.53
19 02 28.369,+45 57 41.43
19 13 00.041,+45 59 28.72
19 34 37.478,+45 55 09.77
19 49 26.871,+45 57 48.78
19 56 25.795,+45 55 40.15
19 58 13.944,+45 57 50.51
20 01 59.085,+45 56 56.54
19 00 11.995,+46 05 05.82
19 02 51.874,+46 02 37.28
19 30 29.794,+46 02 43.22
19 58 57.720,+46 05 11.58
18 49 28.615,+46 06 23.15
19 08 30.998,+46 08 07.08
19 36 47.215,+46 09 49.03
19 37 26.465,+46 10 07.36
19 51 05.246,+46 06 45.76
19 51 19.193,+46 11 13.78
18 48 28.231,+46 13 06.13
18 58 27.305,+46 16 49.94
18 59 09.840,+46 17 05.82
18 59 41.914,+46 17 20.54
19 01 34.070,+46 14 34.94
19 02 46.450,+46 14 48.19
19 49 10.524,+46 12 49.10
19 59 35.174,+46 15 10.33
20 01 09.305,+46 16 07.28
19 08 26.945,+46 22 50.74
19 14 54.989,+46 18 14.98
19 15 05.685,+46 21 59.72
19 18 04.810,+46 21 59.76
19 29 16.728,+46 20 43.12
19 29 28.644,+46 19 11.57
19 30 35.100,+46 19 13.26
19 48 57.115,+46 21 12.02
19 53 59.561,+46 18 21.10
18 50 53.991,+46 26 58.99
19 00 38.794,+46 25 45.23
19 02 23.117,+46 25 15.42
19 19 08.181,+46 26 56.98
19 27 25.341,+46 24 12.10
19 27 42.945,+46 24 58.07
19 32 37.327,+46 27 20.12
19 47 57.941,+46 25 15.53
19 50 36.290,+46 25 10.09
19 52 57.634,+46 28 54.41
18 50 13.042,+46 30 32.58
18 54 00.007,+46 32 03.70
19 34 59.811,+46 33 55.04
19 35 15.890,+46 33 54.83
19 36 17.705,+46 32 06.83
19 40 37.776,+46 30 19.51
19 48 29.215,+46 32 31.31
19 54 43.769,+46 34 49.91
18 46 20.892,+46 38 06.36
19 09 46.020,+46 41 07.22
19 13 56.637,+46 41 40.13
19 15 17.616,+46 36 52.67
19 21 07.154,+46 36 54.54
19 21 42.898,+46 37 21.40
19 30 21.023,+46 36 32.19
19 38 06.732,+46 36 30.67
19 38 07.508,+46 38 42.65
19 39 43.618,+46 40 46.52
19 57 25.687,+46 38 43.62
18 55 29.556,+46 44 33.94
19 08 01.615,+46 46 02.78
19 08 14.100,+46 47 43.51
19 15 26.246,+46 44 04.88
19 31 44.849,+46 42 30.64
19 32 49.387,+46 46 02.89
19 46 22.879,+46 43 23.56
19 49 02.544,+46 45 44.39
19 58 20.772,+46 45 55.94
18 54 59.325,+46 48 52.42
19 12 08.179,+46 51 09.11
19 14 30.998,+46 53 01.90
19 14 40.017,+46 48 40.10
19 19 15.607,+46 52 20.89
19 47 07.517,+46 53 00.46
19 48 23.760,+46 50 07.40
19 49 16.284,+46 51 12.56
19 53 04.843,+46 51 49.10
19 58 38.513,+46 49 43.07
20 00 12.423,+46 51 14.18
18 44 24.139,+46 54 32.58
18 52 45.890,+46 56 02.69
18 57 06.811,+46 59 29.62
19 07 21.554,+46 57 11.59
19 08 47.109,+46 55 34.03
19 38 03.650,+46 54 02.45
19 38 48.588,+46 58 33.38
19 45 34.233,+46 58 03.65
19 48 52.307,+46 54 39.89
19 50 18.917,+46 54 44.06
19 51 02.307,+46 59 32.75
19 59 25.858,+46 55 25.18
19 04 27.833,+47 01 48.43
19 16 08.767,+47 01 11.50
19 33 29.434,+47 03 28.37
19 40 22.118,+47 05 36.92
19 45 38.498,+47 03 34.96
19 54 28.531,+47 01 43.61
18 47 10.186,+47 10 05.48
18 51 33.168,+47 10 43.54
19 13 02.724,+47 08 10.82
19 20 50.731,+47 06 35.93
19 35 52.542,+47 08 25.86
19 46 32.491,+47 11 15.94
18 44 26.095,+47 13 25.64
19 09 35.441,+47 16 55.13
19 44 03.386,+47 15 02.70
19 44 23.489,+47 14 27.64
19 44 47.306,+47 17 05.89
19 50 01.469,+47 12 04.14
19 55 25.032,+47 12 52.06
19 56 15.249,+47 13 35.18
19 58 24.077,+47 13 49.04
18 42 08.205,+47 22 09.08
19 30 05.515,+47 22 41.70
19 36 26.369,+47 21 11.52
19 44 23.287,+47 19 50.34
19 44 34.349,+47 19 07.18
19 50 57.600,+47 18 54.54
18 43 33.722,+47 28 49.73
18 53 53.585,+47 27 07.13
18 54 02.400,+47 28 27.41
18 58 02.383,+47 25 10.85
19 07 50.621,+47 29 47.72
19 10 29.275,+47 28 51.38
19 10 45.799,+47 27 33.80
19 13 54.225,+47 26 50.06
19 15 14.153,+47 29 02.36
19 23 28.368,+47 27 44.24
19 24 21.144,+47 25 11.06
19 24 52.159,+47 25 48.76
19 26 31.550,+47 24 29.23
19 37 08.911,+47 24 16.42
19 54 40.728,+47 26 20.65
18 40 09.562,+47 35 16.51
19 02 02.314,+47 35 54.92
19 16 06.387,+47 31 51.20
19 27 47.880,+47 34 05.92
19 28 33.506,+47 31 18.52
19 44 26.750,+47 34 49.66
19 47 59.950,+47 33 37.80
19 50 57.490,+47 34 33.60
19 52 51.855,+47 32 42.11
19 55 15.797,+47 30 49.93
19 56 10.483,+47 35 50.71
19 57 28.459,+47 31 23.92
18 45 53.842,+47 40 26.18
18 51 54.778,+47 37 47.75
18 58 09.084,+47 41 30.16
19 09 01.625,+47 41 26.38
19 17 23.460,+47 40 25.79
19 24 11.052,+47 40 24.42
19 24 41.417,+47 38 26.48
19 27 23.950,+47 41 49.49
18 53 53.736,+47 43 50.02
18 54 13.673,+47 45 49.03
19 29 28.810,+47 43 11.96
19 44 02.206,+47 46 56.24
19 47 16.934,+47 46 46.78
19 53 35.419,+47 43 58.44
19 54 50.249,+47 45 10.12
18 49 36.398,+47 49 07.28
19 00 42.526,+47 51 21.53
19 03 37.047,+47 50 11.76
19 17 25.094,+47 53 25.04
19 27 58.565,+47 48 43.34
19 34 36.463,+47 50 14.03
19 34 53.551,+47 51 12.74
19 47 08.371,+47 48 43.99
19 48 14.145,+47 48 32.29
19 48 58.925,+47 51 56.56
19 52 08.921,+47 48 52.60
19 54 50.215,+47 50 24.07
18 43 15.211,+47 59 38.40
19 17 07.181,+47 58 44.94
19 26 28.493,+47 58 11.68
19 26 36.262,+47 54 20.02
19 43 05.016,+47 57 32.62
19 45 06.898,+47 59 18.89
19 45 27.914,+47 56 46.43
19 47 13.541,+47 57 36.43
19 48 38.830,+47 55 36.37
19 49 01.466,+47 54 50.69
19 51 21.262,+47 56 34.26
18 46 50.815,+48 01 23.23
19 03 13.255,+48 05 50.32
19 23 11.196,+48 03 34.88
19 27 09.331,+48 01 14.84
19 28 23.189,+48 04 50.99
19 35 57.915,+48 03 37.37
19 36 34.766,+48 00 51.66
19 46 20.657,+48 01 07.10
19 47 32.556,+48 03 43.09
18 49 40.423,+48 07 13.94
18 59 38.861,+48 08 52.22
19 05 58.894,+48 10 07.00
19 28 03.346,+48 10 20.42
19 29 53.213,+48 11 55.57
19 34 46.610,+48 09 48.49
19 46 26.158,+48 08 59.03
18 55 20.438,+48 15 12.56
19 04 25.918,+48 13 57.58
19 07 21.809,+48 17 21.12
19 14 09.129,+48 13 43.90
19 28 39.569,+48 16 27.62
19 26 03.250,+48 21 46.51
19 28 05.830,+48 18 44.10
19 28 12.033,+48 23 42.14
19 28 44.702,+48 23 27.78
19 31 15.531,+48 18 52.70
19 36 17.438,+48 18 09.22
18 46 28.717,+48 28 40.02
19 00 57.439,+48 24 41.54
19 14 39.468,+48 24 44.93
19 15 10.138,+48 28 16.25
19 19 27.926,+48 25 49.51
19 20 41.698,+48 29 28.54
19 28 31.022,+48 28 29.06
19 28 49.149,+48 25 04.37
19 35 53.157,+48 24 32.18
18 48 00.077,+48 32 31.99
18 49 05.369,+48 35 57.26
18 52 45.739,+48 33 20.66
19 04 47.820,+48 32 35.95
19 20 53.330,+48 31 01.52
19 25 06.845,+48 32 58.96
19 30 29.076,+48 35 54.78
19 31 01.663,+48 31 50.92
19 32 48.735,+48 34 23.27
19 35 38.340,+48 33 43.49
19 42 42.202,+48 30 08.32
19 53 50.155,+48 32 57.62
19 08 47.583,+48 38 36.74
19 11 06.768,+48 40 48.61
19 21 08.169,+48 36 29.52
18 51 34.966,+48 43 41.30
19 05 44.796,+48 42 23.22
19 20 38.412,+48 47 07.33
19 22 18.142,+48 47 09.17
19 39 31.092,+48 42 07.24
19 52 38.777,+48 47 32.06
19 04 04.608,+48 52 00.26
19 04 05.110,+48 51 11.27
19 12 25.788,+48 50 21.16
19 18 56.549,+48 51 00.72
19 24 29.633,+48 49 56.89
19 27 19.800,+48 48 55.94
19 38 54.343,+48 49 54.44
19 41 48.228,+48 49 42.17
19 42 12.115,+48 49 03.18
19 45 22.238,+48 53 50.17
19 05 24.785,+48 59 37.25
19 11 14.921,+48 56 34.76
19 27 24.242,+48 55 39.76
19 28 37.834,+48 59 27.10
19 42 38.995,+48 55 12.25
19 48 01.282,+48 59 43.51
19 48 07.133,+48 59 29.15
18 56 40.987,+49 03 43.09
19 04 12.353,+49 04 15.82
19 04 18.566,+49 03 42.88
19 27 04.649,+49 04 30.60
19 27 17.690,+49 00 08.39
19 29 02.201,+49 01 20.03
19 43 40.267,+49 03 33.98
19 00 04.428,+49 10 19.70
19 47 39.115,+49 10 06.38
19 48 34.757,+49 09 47.12
19 07 13.661,+49 12 04.18
19 07 18.242,+49 16 52.61
19 27 32.810,+49 15 23.55
19 32 39.139,+49 17 42.68
19 37 22.289,+49 14 48.66
19 39 11.333,+49 12 50.04
19 41 54.701,+49 15 02.27
19 50 58.087,+49 14 39.70
19 51 02.409,+49 16 44.58
18 58 00.271,+49 21 12.64
18 58 43.486,+49 23 26.70
19 02 55.687,+49 20 06.68
19 05 40.625,+49 18 20.81
19 25 06.029,+49 20 25.91
19 29 35.004,+49 18 23.65
19 49 44.753,+49 23 52.40
19 50 54.787,+49 19 49.37
19 06 48.686,+49 26 33.47
19 25 21.550,+49 26 58.31
19 29 38.306,+49 29 48.44
19 41 49.049,+49 24 09.14
19 42 57.408,+49 29 30.08
19 04 55.798,+49 31 33.60
19 26 15.756,+49 35 34.01
19 26 29.638,+49 30 56.16
19 39 33.843,+49 31 57.76
19 41 22.620,+49 30 13.36
19 49 27.461,+49 31 35.80
19 50 16.356,+49 30 15.05
19 51 05.249,+49 33 21.28
19 51 55.709,+49 35 57.77
18 58 19.805,+49 41 04.52
19 14 16.570,+49 41 15.43
19 35 50.466,+49 37 09.52
19 40 33.739,+49 39 22.18
19 44 48.161,+49 37 31.15
19 02 12.801,+49 46 05.59
19 04 50.542,+49 43 21.54
19 15 33.660,+49 42 27.00
19 17 02.086,+49 42 53.68
19 19 39.552,+49 42 34.27
19 28 37.951,+49 42 49.25
19 41 32.676,+49 44 19.97
19 42 56.621,+49 43 51.24
19 44 08.887,+49 42 26.68
19 44 27.802,+49 44 50.24
19 45 48.809,+49 47 11.58
19 03 07.607,+49 53 42.61
19 08 20.198,+49 50 50.96
19 09 38.402,+49 49 47.21
19 21 49.522,+49 52 46.34
19 37 38.830,+49 52 08.69
19 38 28.416,+49 53 06.18
19 47 25.234,+49 52 27.37
19 02 59.683,+49 58 11.96
19 08 18.993,+49 55 45.88
19 13 45.022,+49 57 47.77
19 35 45.818,+49 55 49.22
19 39 13.620,+49 57 45.86
19 45 59.494,+49 55 00.30
19 46 29.784,+49 57 22.07
19 47 35.827,+49 54 58.74
19 05 50.938,+50 04 04.55
19 48 07.305,+50 03 20.59
19 19 08.721,+50 07 05.92
19 22 10.065,+50 06 11.38
19 23 56.856,+50 08 17.05
19 24 36.831,+50 11 02.29
19 46 41.282,+50 09 00.40
19 15 25.007,+50 16 46.64
19 16 11.762,+50 12 04.43
19 17 46.550,+50 16 17.36
19 18 15.430,+50 16 13.98
19 18 32.707,+50 17 47.58
19 18 33.782,+50 17 00.64
19 44 56.522,+50 17 16.73
19 45 08.830,+50 17 18.92
19 05 38.033,+50 22 53.51
19 44 27.181,+50 23 43.58
19 45 37.649,+50 23 30.66
19 46 57.566,+50 21 25.85
19 02 17.758,+50 25 03.72
19 35 12.223,+50 25 05.45
19 35 33.389,+50 27 51.34
19 04 19.632,+50 33 21.67
19 11 46.608,+50 32 42.86
19 16 29.892,+50 34 36.70
19 35 23.508,+50 31 37.99
19 42 28.123,+50 34 37.45
19 42 33.473,+50 33 00.04
19 14 24.532,+50 37 18.42
19 18 16.013,+50 36 09.11
19 21 35.349,+50 39 21.28
19 23 08.117,+50 37 31.15
19 41 51.787,+50 41 49.49
19 04 34.212,+50 43 13.73
19 18 31.442,+50 47 10.14
19 22 37.682,+50 44 54.13
19 42 16.858,+50 46 29.39
19 43 04.411,+50 47 30.19
19 43 32.251,+50 43 39.00
19 44 07.310,+50 43 47.78
19 09 37.207,+50 52 51.10
19 22 03.072,+50 52 29.68
19 25 57.897,+50 54 23.44
19 39 45.579,+50 57 13.43
19 45 57.766,+50 54 21.10
19 21 08.370,+51 02 00.89
19 44 22.380,+51 04 56.64
19 43 49.224,+51 10 45.44
19 18 21.737,+51 15 55.22
19 23 24.996,+51 15 10.80
19 24 38.134,+51 15 53.64
19 43 59.426,+51 14 27.20
19 45 11.254,+51 14 18.31
19 14 37.359,+51 26 58.02
19 21 54.857,+51 26 11.04
19 15 07.430,+51 41 34.44
19 21 56.328,+51 43 42.78
19 22 49.236,+51 54 34.42
19 22 10.834,+52 03 29.45

