_r,_RAJ2000,_DEJ2000,KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
arcsec,h:m:s,d:m:s, ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
----,-----------,-----------,--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 53 54.43,+40 13 14.2,5127005,6128,231,1,PHO,3.5,0.4,0,KIC,-0.373,0.3,0,KIC,1,6127,3.496,-0.4,3.661,1.53,DSEP,4.39E-02,  ,298.47678,40.22062
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,18 58 12.92,+40 20 21.4,5166965,5278,159,1,PHO,3.556,0.4,0,KIC,-0.249,0.3,0,KIC,1,5277,3.566,-0.26,3.201,1.377,DSEP,5.91E-02,  ,284.55383,40.33927
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 01 08.30,+40 20 22.2,5168493,5061,143,1,PHO,3.5,0.4,0,KIC,-0.082,0.3,0,KIC,1,5059,3.512,-0.08,3.324,1.309,DSEP,5.02E-02,  ,285.28458,40.33951
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 11 27.45,+40 21 51.1,5174429,5442,169,1,PHO,3.577,0.4,0,KIC,-0.131,0.3,0,KIC,1,5450,3.593,-0.12,3.242,1.501,DSEP,6.21E-02,  ,287.86438,40.36421
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 14 08.50,+40 18 42.8,5176287,5158,155,1,PHO,3.551,0.4,0,KIC,-0.019,0.3,0,KIC,1,5160,3.568,-0.02,3.279,1.45,DSEP,5.79E-02,  ,288.53543,40.31189
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 20 23.98,+40 23 11.7,5181299,5174,158,1,PHO,3.532,0.4,0,KIC,-0.202,0.3,0,KIC,1,5172,3.534,-0.2,3.264,1.33,DSEP,5.38E-02,  ,290.09991,40.38658
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 20 59.69,+40 18 40.8,5181871,5046,146,1,PHO,3.544,0.4,0,KIC,-0.163,0.3,0,KIC,1,5044,3.55,-0.16,2.917,1.1,DSEP,6.24E-02,  ,290.24869,40.31133
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 22 30.13,+40 20 17.2,5183236,4935,146,1,PHO,3.517,0.4,0,KIC,-0.33,0.3,0,KIC,1,4957,3.486,-0.28,2.796,0.873,DSEP,5.62E-02,  ,290.62555,40.33812
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 24 38.22,+40 18 33.8,5184826,5058,151,1,PHO,3.585,0.4,0,KIC,-0.2,0.3,0,KIC,1,5060,3.575,-0.2,2.795,1.071,DSEP,6.90E-02,  ,291.15924,40.30939
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 24 48.16,+40 22 02.1,5184965,5055,153,1,PHO,3.538,0.4,0,KIC,-0.66,0.3,0,KIC,1,5101,3.468,-0.58,2.777,0.825,DSEP,5.43E-02,  ,291.20065,40.36724
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 25 40.64,+40 19 04.8,5185705,5148,154,1,PHO,3.559,0.4,0,KIC,-0.233,0.3,0,KIC,1,5147,3.562,-0.24,3.004,1.199,DSEP,6.23E-02,  ,291.41934,40.31801
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 36 47.57,+40 19 41.5,5195476,5022,153,1,PHO,3.504,0.4,0,KIC,-0.214,0.3,0,KIC,1,5022,3.492,-0.22,3.02,1.034,DSEP,5.28E-02,  ,294.19821,40.32819
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 41 46.85,+40 20 26.5,5200605,5711,201,1,PHO,3.572,0.4,0,KIC,0.247,0.3,0,KIC,1,5700,3.589,0.24,3.408,1.645,DSEP,5.86E-02,  ,295.44519,40.34069
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 13 56.10,+40 29 22.6,5264401,5250,161,1,PHO,3.553,0.4,0,KIC,-0.412,0.3,0,KIC,1,5249,3.544,-0.42,3.021,1.164,DSEP,5.95E-02,  ,288.48376,40.48961
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 24 02.40,+40 26 40.3,5272443,5089,165,1,PHO,3.531,0.4,0,KIC,0.236,0.3,0,KIC,1,5095,3.52,0.24,3.695,1.649,DSEP,4.61E-02,  ,291.01001,40.44453
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 34 53.37,+40 26 47.7,5281639,5418,169,1,PHO,3.598,0.4,0,KIC,-0.127,0.3,0,KIC,1,5432,3.625,-0.12,3.077,1.458,DSEP,7.05E-02,  ,293.72238,40.44659
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,19 42 00.26,+40 24 36.8,5288570,6160,215,54,PHO,3.572,0.4,54,PHO,-0.1,0.3,54,PHO,0,6153,3.597,-0.12,3.279,1.55,DSEP,6.19E-02,  ,295.50107,40.41022
3.22,19 42 00.52,+40 24 35.8,5288577,6704,234,54,PHO,3.882,0.4,54,PHO,-0.4,0.3,54,PHO,0,6701,3.882,-0.4,2.237,1.392,DSEP,1.75E-01,  ,295.50217,40.40994
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,18 55 00.81,+40 34 51.5,5341285,5235,148,1,PHO,3.525,0.4,0,KIC,-0.408,0.3,0,KIC,1,5238,3.527,-0.4,3.135,1.205,DSEP,5.51E-02,  ,283.75336,40.58096
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 11 34.37,+40 31 48.9,5350351,5205,153,1,PHO,3.522,0.4,0,KIC,-0.352,0.3,0,KIC,1,5203,3.525,-0.36,3.128,1.194,DSEP,5.49E-02,  ,287.89319,40.53024
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 13 11.57,+40 35 36.9,5351433,5194,156,1,PHO,3.52,0.4,0,KIC,-0.063,0.3,0,KIC,1,5195,3.519,-0.06,3.55,1.52,DSEP,4.79E-02,  ,288.29819,40.59357
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 15 13.04,+40 33 19.9,5352861,5056,149,1,PHO,3.535,0.4,0,KIC,-0.331,0.3,0,KIC,1,5052,3.54,-0.34,2.724,0.938,DSEP,6.54E-02,  ,288.80435,40.55553
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 16 35.24,+40 31 19.2,5353890,5143,151,1,PHO,3.542,0.4,0,KIC,0.228,0.3,0,KIC,1,5142,3.545,0.22,3.586,1.645,DSEP,5.03E-02,  ,289.14685,40.52201
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 35 20.65,+40 35 22.7,5369457,5120,158,1,PHO,3.518,0.4,0,KIC,-0.486,0.3,0,KIC,1,5115,3.515,-0.48,2.766,0.913,DSEP,6.08E-02,  ,293.83603,40.58964
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 40 06.96,+40 35 54.4,5374099,4828,142,1,PHO,3.554,0.4,0,KIC,0.41,0.3,0,KIC,1,4830,3.558,0.42,3.177,1.332,DSEP,5.85E-02,  ,295.02899,40.59843
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 42 06.48,+40 35 47.0,5376171,4805,144,1,PHO,3.546,0.4,0,KIC,-0.568,0.3,0,KIC,1,4937,3.32,-0.3,3.384,0.872,DSEP,3.17E-02,  ,295.52698,40.59639
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 48 29.44,+40 30 11.1,5383476,5423,199,1,PHO,3.587,0.4,0,KIC,-1.243,0.3,0,KIC,1,5435,3.567,-1.24,2.393,0.771,DSEP,7.93E-02,  ,297.12265,40.50308
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 57 35.88,+40 33 11.4,5394680,5350,149,1,PHO,3.593,0.4,0,KIC,-0.114,0.3,0,KIC,1,5356,3.614,-0.1,3.124,1.465,DSEP,6.77E-02,  ,299.39951,40.55316
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06,19 58 25.39,+40 30 14.1,5395868,5361,182,1,PHO,3.526,0.4,0,KIC,0.061,0.3,0,KIC,1,5365,3.547,0.07,3.602,1.667,DSEP,5.03E-02,  ,299.6058,40.50392
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 59 26.32,+40 33 50.2,5397166,5911,218,1,PHO,3.592,0.4,0,KIC,0.202,0.3,0,KIC,1,5904,3.602,0.2,3.348,1.635,DSEP,6.13E-02,  ,299.85965,40.56395
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 00 12.59,+40 36 42.0,5429911,5303,185,10,PHO,3.572,0.03,10,AST,-0.2,0.3,10,PHO,1,5303,3.572,-0.2,3.24,1.43,MULT,5.93E-02,10,285.05246,40.61168
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 03 49.01,+40 39 35.9,5431807,5285,184,10,PHO,3.576,0.03,10,AST,-0.2,0.3,10,PHO,1,5285,3.576,-0.2,3.18,1.39,MULT,6.07E-02,10,285.95419,40.65998
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 11 54.68,+40 38 20.9,5436707,4919,147,1,PHO,3.504,0.4,0,KIC,-0.497,0.3,0,KIC,1,4983,3.418,-0.36,2.999,0.859,DSEP,4.49E-02,  ,287.97784,40.63914
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 13 23.47,+40 39 40.9,5437624,5206,155,1,PHO,3.583,0.4,0,KIC,-0.235,0.3,0,KIC,1,5205,3.579,-0.24,3.051,1.289,DSEP,6.40E-02,  ,288.34778,40.66137
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 22 32.17,+40 36 57.9,5444758,4976,147,1,PHO,3.554,0.4,0,KIC,-0.425,0.3,0,KIC,1,5004,3.534,-0.36,2.622,0.857,DSEP,6.70E-02,  ,290.63406,40.61609
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 24 18.10,+40 38 58.8,5446068,5980,119,4,SPE,3.58,0.15,4,SPE,-0.02,0.15,4,SPE,1,5985,3.586,-0.02,3.35,1.578,DSEP,5.91E-02,  ,291.07541,40.64966
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 39 44.70,+40 37 01.1,5459454,5132,165,1,PHO,3.565,0.4,0,KIC,0.136,0.3,0,KIC,1,5123,3.574,0.14,3.346,1.53,DSEP,5.75E-02,  ,294.93625,40.61697
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 46 41.32,+40 37 30.0,5467099,5090,156,1,PHO,3.519,0.4,0,KIC,0.159,0.3,0,KIC,1,5087,3.509,0.14,3.656,1.573,DSEP,4.54E-02,  ,296.67215,40.62501
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 54 55.10,+40 36 20.6,5476544,5558,169,1,PHO,3.564,0.4,0,KIC,-0.053,0.3,0,KIC,1,5562,3.572,-0.04,3.401,1.576,DSEP,5.64E-02,  ,298.72958,40.60573
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 56 36.59,+40 39 45.5,5478777,5216,172,1,PHO,3.509,0.4,0,KIC,-0.004,0.3,0,KIC,1,5219,3.522,0,3.621,1.589,DSEP,4.71E-02,  ,299.15247,40.66265
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 59 26.11,+40 37 35.6,5482534,8469,296,0,KIC,3.594,0.4,0,KIC,-0.035,0.3,0,KIC,1,8466,3.607,0.07,4.229,2.641,DSEP,4.92E-02,  ,299.8588,40.62655
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 59 42.55,+40 37 14.5,5482876,5652,189,1,PHO,3.538,0.4,0,KIC,-0.118,0.3,0,KIC,1,5657,3.519,-0.1,3.666,1.62,DSEP,4.63E-02,  ,299.92728,40.62071
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 01 27.70,+40 47 34.5,5515759,5318,166,1,PHO,3.584,0.4,0,KIC,-0.924,0.3,0,KIC,1,5321,3.575,-0.92,2.419,0.801,DSEP,7.98E-02,  ,285.36542,40.79291
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 17 42.46,+40 44 44.9,5525921,5158,160,1,PHO,3.548,0.4,0,KIC,0.173,0.3,0,KIC,1,5155,3.541,0.18,3.593,1.636,DSEP,4.97E-02,  ,289.42691,40.74581
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 22 28.94,+40 43 13.3,5529992,5003,142,1,PHO,3.581,0.4,0,KIC,-0.138,0.3,0,KIC,1,5000,3.578,-0.14,2.735,1.032,DSEP,7.11E-02,  ,290.62057,40.72036
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 29 24.02,+40 43 46.0,5535283,4985,149,1,PHO,3.578,0.4,0,KIC,-0.216,0.3,0,KIC,1,4984,3.567,-0.22,2.642,0.939,DSEP,7.18E-02,  ,292.35007,40.72944
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 40 21.12,+40 46 28.9,5545183,5273,157,1,PHO,3.546,0.4,0,KIC,-0.222,0.3,0,KIC,1,5274,3.547,-0.22,3.334,1.429,DSEP,5.43E-02,  ,295.08801,40.7747
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 47 50.31,+40 46 55.8,5553498,5309,160,1,PHO,3.577,0.4,0,KIC,-0.035,0.3,0,KIC,1,5312,3.618,-0.02,3.138,1.488,DSEP,6.79E-02,  ,296.95963,40.78216
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 50 46.98,+40 45 59.3,5557155,5204,171,1,PHO,3.576,0.4,0,KIC,-0.058,0.3,0,KIC,1,5204,3.591,-0.04,3.183,1.443,DSEP,6.30E-02,  ,297.69577,40.76648
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,18 59 33.24,+40 49 55.1,5600816,4965,144,1,PHO,3.515,0.4,0,KIC,0.132,0.3,0,KIC,1,4962,3.514,0.12,3.376,1.356,DSEP,4.97E-02,  ,284.88852,40.83198
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 12 02.92,+40 49 25.2,5608160,5285,162,1,PHO,3.557,0.4,0,KIC,-0.062,0.3,0,KIC,1,5291,3.573,-0.06,3.338,1.519,DSEP,5.75E-02,  ,288.01215,40.82367
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 15 54.44,+40 51 13.4,5610881,5111,154,1,PHO,3.567,0.4,0,KIC,0.416,0.3,0,KIC,1,5099,3.563,0.4,3.536,1.666,DSEP,5.31E-02,  ,288.97684,40.85372
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 24 07.25,+40 50 10.1,5617488,7887,276,0,KIC,3.595,0.4,0,KIC,-0.478,0.3,0,KIC,1,7872,3.59,-0.48,3.666,1.907,DSEP,5.45E-02,  ,291.03021,40.83613
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 24 17.73,+40 49 01.8,5617594,5271,175,1,PHO,3.588,0.4,0,KIC,-1.049,0.3,0,KIC,1,5314,3.496,-1,2.627,0.789,DSEP,6.13E-02,  ,291.07388,40.81716
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 37 54.87,+40 49 54.0,5629080,5203,182,10,PHO,3.556,0.03,10,AST,-0.2,0.3,10,PHO,1,5203,3.556,-0.2,3.18,1.33,MULT,5.82E-02,10,294.47864,40.83168
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 39 19.25,+40 53 58.9,5630362,7581,265,0,KIC,3.53,0.4,0,KIC,-0.285,0.3,0,KIC,1,7557,3.548,-0.3,3.913,1.973,DSEP,4.64E-02,  ,294.8302,40.89969
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 41 36.00,+40 52 08.7,5632609,8144,285,0,KIC,3.565,0.4,0,KIC,-0.243,0.3,0,KIC,1,8132,3.708,-0.26,3.268,1.987,DSEP,8.02E-02,  ,295.40002,40.86908
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 41 53.09,+40 52 09.4,5632912,7606,266,0,KIC,3.557,0.4,0,KIC,-0.642,0.3,0,KIC,1,7596,3.507,-0.64,3.991,1.865,DSEP,4.13E-02,  ,295.47119,40.86929
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 46 34.19,+40 48 53.3,5638053,5153,161,1,PHO,3.578,0.4,0,KIC,0.137,0.3,0,KIC,1,5157,3.566,0.14,3.423,1.572,DSEP,5.52E-02,  ,296.64246,40.81482
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 47 36.25,+40 52 35.7,5639284,5011,148,1,PHO,3.531,0.4,0,KIC,0.145,0.3,0,KIC,1,5016,3.541,0.14,3.353,1.425,DSEP,5.32E-02,  ,296.90106,40.87658
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 50 44.08,+40 49 21.7,5643103,10448,365,0,KIC,3.529,0.4,0,KIC,-0.171,0.3,0,KIC,1,10449,3.497,0.07,5.511,3.473,DSEP,2.92E-02,  ,297.68365,40.82268
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 56 31.76,+40 49 34.1,5650108,8457,295,0,KIC,3.551,0.4,0,KIC,-0.161,0.3,0,KIC,1,8439,3.751,-0.14,3.144,2.032,DSEP,9.21E-02,  ,299.13235,40.82613
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 56 36.31,+40 52 41.3,5650215,5861,210,1,PHO,3.541,0.4,0,KIC,0.063,0.3,0,KIC,1,5869,3.547,0.08,3.601,1.667,DSEP,5.03E-02,  ,299.15131,40.87814
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 58 55.36,+40 49 34.8,5653243,5190,181,54,PHO,3.566,0.4,54,PHO,-0.54,0.3,54,PHO,0,5190,3.56,-0.54,2.666,0.94,DSEP,6.99E-02,  ,299.73065,40.82633
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 11 01.88,+40 54 25.6,5693423,5258,160,1,PHO,3.535,0.4,0,KIC,-0.176,0.3,0,KIC,1,5251,3.546,-0.18,3.354,1.442,DSEP,5.38E-02,  ,287.75784,40.90711
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 14 47.58,+40 56 26.5,5695835,5213,159,1,PHO,3.582,0.4,0,KIC,-0.55,0.3,0,KIC,1,5210,3.577,-0.56,2.609,0.937,DSEP,7.43E-02,  ,288.69827,40.94071
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 15 03.04,+40 57 38.8,5696036,5017,144,1,PHO,3.547,0.4,0,KIC,-0.08,0.3,0,KIC,1,5017,3.557,-0.08,2.944,1.138,DSEP,6.28E-02,  ,288.76266,40.96079
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 17 59.78,+40 54 41.1,5698201,5364,166,1,PHO,3.515,0.4,0,KIC,-0.377,0.3,0,KIC,1,5355,3.497,-0.38,3.534,1.431,DSEP,4.57E-02,  ,289.49908,40.91143
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 22 56.51,+40 56 59.8,5702251,5135,145,1,PHO,3.559,0.4,0,KIC,-0.511,0.3,0,KIC,1,5132,3.554,-0.52,2.605,0.884,DSEP,7.05E-02,  ,290.73547,40.94995
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 23 09.06,+40 59 36.2,5702396,5118,160,1,PHO,3.51,0.4,0,KIC,-0.032,0.3,0,KIC,1,5120,3.514,-0.04,3.481,1.445,DSEP,4.83E-02,  ,290.78775,40.99338
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 28 52.92,+40 58 28.6,5706754,5212,160,1,PHO,3.577,0.4,0,KIC,-0.329,0.3,0,KIC,1,5215,3.586,-0.32,2.899,1.182,DSEP,6.83E-02,  ,292.22052,40.97461
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 32 25.56,+40 56 49.9,5709663,5151,159,1,PHO,3.572,0.4,0,KIC,-0.53,0.3,0,KIC,1,5152,3.574,-0.54,2.539,0.881,DSEP,7.58E-02,  ,293.10648,40.94718
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 47 24.61,+40 59 26.3,5724523,7350,257,0,KIC,3.586,0.4,0,KIC,-0.18,0.3,0,KIC,1,7333,3.629,-0.18,3.462,1.863,DSEP,6.32E-02,  ,296.85254,40.99063
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 49 13.77,+40 54 29.2,5726667,7751,271,0,KIC,3.522,0.4,0,KIC,-0.239,0.3,0,KIC,1,7733,3.607,-0.22,3.684,2.002,DSEP,5.64E-02,  ,297.30737,40.9081
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 58 46.50,+40 59 09.7,5738563,5300,165,1,PHO,3.508,0.4,0,KIC,0.096,0.3,0,KIC,1,5296,3.488,0.08,3.947,1.747,DSEP,4.00E-02,  ,299.69373,40.98603
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,18 56 06.70,+41 04 50.3,5770538,5435,165,1,PHO,3.502,0.4,0,KIC,-0.368,0.3,0,KIC,1,5438,3.509,-0.34,3.56,1.492,DSEP,4.66E-02,  ,284.02792,41.08064
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 05 14.22,+41 02 15.6,5775254,5447,169,1,PHO,3.526,0.4,0,KIC,-0.766,0.3,0,KIC,1,5445,3.529,-0.76,2.98,1.096,DSEP,5.83E-02,  ,286.30923,41.03766
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 23 37.24,+41 00 17.0,5788235,5162,155,1,PHO,3.507,0.4,0,KIC,-0.456,0.3,0,KIC,1,5165,3.511,-0.46,2.932,1.018,DSEP,5.69E-02,  ,290.90518,41.00472
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 27 48.96,+41 03 33.7,5791353,4804,140,1,PHO,3.509,0.4,0,KIC,-0.447,0.3,0,KIC,1,4910,3.372,-0.22,3.213,0.886,DSEP,3.76E-02,  ,291.95398,41.05936
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 29 27.94,+41 04 56.4,5792663,5167,160,1,PHO,3.509,0.4,0,KIC,0.142,0.3,0,KIC,1,5174,3.499,0.14,3.833,1.688,DSEP,4.22E-02,  ,292.36642,41.08232
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 30 44.20,+41 01 12.4,5793667,5080,159,1,PHO,3.58,0.4,0,KIC,0.123,0.3,0,KIC,1,5080,3.592,0.14,3.192,1.453,DSEP,6.29E-02,  ,292.68417,41.0201
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 31 47.18,+41 02 11.7,5794479,5118,152,1,PHO,3.554,0.4,0,KIC,-0.164,0.3,0,KIC,1,5119,3.545,-0.16,3.17,1.287,DSEP,5.69E-02,  ,292.94659,41.03658
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 32 00.03,+41 02 25.4,5794680,4975,149,1,PHO,3.545,0.4,0,KIC,-0.046,0.3,0,KIC,1,4975,3.555,-0.04,2.904,1.105,DSEP,6.36E-02,  ,293.00012,41.04039
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 45 37.35,+41 00 30.4,5807853,5081,156,1,PHO,3.58,0.4,0,KIC,-0.028,0.3,0,KIC,1,5079,3.569,-0.02,3.156,1.349,DSEP,6.04E-02,  ,296.40561,41.00845
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 58 59.93,+41 00 32.4,5824148,5146,152,1,PHO,3.59,0.4,0,KIC,-0.666,0.3,0,KIC,1,5157,3.556,-0.64,2.496,0.817,DSEP,7.40E-02,  ,299.74969,41.009
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 15 03.43,+41 06 59.2,5866944,5251,161,1,PHO,3.568,0.4,0,KIC,-0.437,0.3,0,KIC,1,5256,3.579,-0.44,2.836,1.111,DSEP,6.87E-02,  ,288.76428,41.11645
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 30 15.28,+41 10 01.5,5878633,5267,167,1,PHO,3.514,0.4,0,KIC,0.106,0.3,0,KIC,1,5283,3.493,0.12,3.936,1.759,DSEP,4.06E-02,  ,292.56366,41.16709
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 46 42.09,+41 09 53.2,5894182,6295,195,1,PHO,3.554,0.4,0,KIC,-0.073,0.3,0,KIC,1,6296,3.534,-0.06,3.692,1.702,DSEP,4.76E-02,  ,296.67538,41.16477
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 48 56.46,+41 08 43.6,5896655,5270,166,1,PHO,3.506,0.4,0,KIC,-0.111,0.3,0,KIC,1,5266,3.51,-0.12,3.63,1.556,DSEP,4.58E-02,  ,297.23526,41.14544
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 54 24.36,+41 10 39.8,5903029,7619,266,0,KIC,3.546,0.4,0,KIC,-0.111,0.3,0,KIC,1,7627,3.606,-0.1,3.727,2.047,DSEP,5.57E-02,  ,298.6015,41.17772
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 55 48.16,+41 15 40.5,5940273,8229,288,0,KIC,3.594,0.4,0,KIC,-0.421,0.3,0,KIC,1,8207,3.676,-0.44,3.331,1.92,DSEP,7.32E-02,  ,283.95068,41.26126
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 13 41.47,+41 13 07.6,5949878,5653,179,1,PHO,3.537,0.4,0,KIC,-0.548,0.3,0,KIC,1,5653,3.523,-0.54,3.378,1.388,DSEP,5.07E-02,  ,288.42279,41.21878
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 22 21.26,+41 14 17.9,5956596,5004,143,1,PHO,3.551,0.4,0,KIC,-0.143,0.3,0,KIC,1,5000,3.548,-0.14,2.85,1.049,DSEP,6.38E-02,  ,290.58859,41.23831
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 34 09.78,+41 17 52.7,5965884,5072,163,1,PHO,3.537,0.4,0,KIC,0.279,0.3,0,KIC,1,5069,3.553,0.28,3.508,1.602,DSEP,5.23E-02,  ,293.54074,41.29798
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 50 17.78,+41 12 10.2,5982591,6174,221,1,PHO,3.533,0.4,0,KIC,-0.218,0.3,0,KIC,1,6164,3.536,-0.22,3.556,1.582,DSEP,4.96E-02,  ,297.5741,41.20284
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 51 21.25,+41 12 59.7,5983796,6975,256,1,PHO,3.545,0.4,0,KIC,-0.119,0.3,0,KIC,1,6977,3.543,-0.14,3.84,1.878,DSEP,4.67E-02,  ,297.83853,41.21657
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 54 59.15,+41 12 40.0,5987910,5565,209,1,PHO,3.532,0.4,0,KIC,-0.527,0.3,0,KIC,1,5579,3.521,-0.52,3.395,1.393,DSEP,5.01E-02,  ,298.74646,41.2111
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 56 21.18,+41 15 14.0,5989623,5785,207,1,PHO,3.598,0.4,0,KIC,0.058,0.3,0,KIC,1,5792,3.584,0.07,3.384,1.603,DSEP,5.83E-02,  ,299.08826,41.25388
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,18 54 05.62,+41 18 35.2,6021857,5041,152,1,PHO,3.555,0.4,0,KIC,0.111,0.3,0,KIC,1,5044,3.542,0.12,3.378,1.449,DSEP,5.30E-02,  ,283.52341,41.30978
,,,,,,,,,,,,,,,,,,,,,,,,,,
