_r,_RAJ2000,_DEJ2000,KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
arcsec,h:m:s,d:m:s, ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
----,-----------,-----------,--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 04 05.54,+37 53 55.9,2554842,4939,143,1,PHO,3.592,0.4,0,KIC,0.146,0.3,0,KIC,1,4936,3.594,0.14,2.935,1.235,DSEP,6.88E-02,  ,286.0231,37.89887
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 05 12.52,+37 50 56.9,2555747,7134,231,1,PHO,3.562,0.4,0,KIC,-0.167,0.3,0,KIC,1,7144,3.583,-0.16,3.659,1.871,DSEP,5.38E-02,  ,286.30215,37.84913
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 22 17.61,+37 53 08.4,2571868,8152,285,0,KIC,3.563,0.4,0,KIC,-0.208,0.3,0,KIC,1,8132,3.708,-0.26,3.268,1.987,DSEP,8.02E-02,  ,290.57339,37.88567
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 28 04.40,+37 49 41.7,2578513,7186,229,1,PHO,3.539,0.4,0,KIC,-0.845,0.3,0,KIC,1,7201,3.594,-0.84,3.302,1.56,DSEP,6.10E-02,  ,292.01834,37.82825
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 30 52.18,+37 50 55.6,2581674,7348,257,0,KIC,3.532,0.4,0,KIC,0.16,0.3,0,KIC,1,7334,3.582,0.16,3.917,2.133,DSEP,5.00E-02,  ,292.71741,37.84877
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 31 45.40,+37 49 02.9,2582756,5238,161,1,PHO,3.524,0.4,0,KIC,0.038,0.3,0,KIC,1,5248,3.509,0.04,3.756,1.659,DSEP,4.41E-02,  ,292.93918,37.81746
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 02 22.21,+37 55 29.9,2692189,5275,160,1,PHO,3.548,0.4,0,KIC,-0.245,0.3,0,KIC,1,5277,3.566,-0.26,3.201,1.377,DSEP,5.91E-02,  ,285.59256,37.92498
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 08 59.76,+37 55 21.2,2697306,4942,147,1,PHO,3.51,0.4,0,KIC,-0.068,0.3,0,KIC,1,4940,3.504,-0.06,3.003,1.05,DSEP,5.46E-02,  ,287.24899,37.92257
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 22 33.63,+37 58 26.0,2709587,5070,152,1,PHO,3.549,0.4,0,KIC,-0.184,0.3,0,KIC,1,5066,3.549,-0.18,2.942,1.117,DSEP,6.18E-02,  ,290.64014,37.97389
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 24 28.75,+37 58 58.7,2711573,5154,154,1,PHO,3.555,0.4,0,KIC,0.089,0.3,0,KIC,1,5154,3.57,0.08,3.344,1.516,DSEP,5.71E-02,  ,291.11981,37.98298
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 28 30.61,+37 54 53.8,2716180,5119,161,1,PHO,3.523,0.4,0,KIC,0.073,0.3,0,KIC,1,5119,3.541,0.08,3.459,1.517,DSEP,5.16E-02,  ,292.12753,37.91495
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 29 21.22,+37 59 46.2,2717201,4978,150,1,PHO,3.552,0.4,0,KIC,-0.219,0.3,0,KIC,1,4979,3.545,-0.22,2.71,0.939,DSEP,6.65E-02,  ,292.33841,37.99616
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 04 57.32,+38 01 14.6,2833327,5482,165,1,PHO,3.579,0.4,0,KIC,-0.093,0.3,0,KIC,1,5486,3.567,-0.08,3.409,1.566,DSEP,5.57E-02,  ,286.23883,38.02073
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 22 50.46,+38 02 58.1,2849057,4768,136,1,PHO,3.52,0.4,0,KIC,-0.038,0.3,0,KIC,1,4811,3.485,0.04,2.89,0.929,DSEP,5.42E-02,  ,290.71027,38.04946
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 26 04.36,+38 00 13.0,2852827,5032,152,1,PHO,3.555,0.4,0,KIC,-0.042,0.3,0,KIC,1,5030,3.558,-0.04,3.072,1.243,DSEP,6.04E-02,  ,291.51816,38.00361
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 26 27.99,+38 02 05.2,2853280,7543,264,0,KIC,3.585,0.4,0,KIC,0.052,0.3,0,KIC,1,7543,3.581,0.07,4.04,2.269,DSEP,4.85E-02,  ,291.61664,38.03478
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 26 55.00,+38 04 12.1,2853780,5303,167,1,PHO,3.595,0.4,0,KIC,0.027,0.3,0,KIC,1,5295,3.617,0.02,3.152,1.501,DSEP,6.75E-02,  ,291.72916,38.07002
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 28 28.42,+38 01 10.5,2855642,5081,154,1,PHO,3.524,0.4,0,KIC,-0.047,0.3,0,KIC,1,5076,3.51,-0.04,3.413,1.376,DSEP,4.87E-02,  ,292.11841,38.01959
