Filename:         max_freq,   max_val,    Variable_Star,  Potential_EB,   Visual_Followup

Processed_kplr002580872-2012088054726_llc.fits.txt  275469.589241  0.815000  1  1  1

Processed_kplr002580872-2012179063303_llc.fits.txt  360078.530609  0.125000  1  0  0

Processed_kplr002580872-2012277125453_llc.fits.txt  421314.654724  0.070000  1  0  1

Processed_kplr002580872-2013011073258_llc.fits.txt  363352.155933  0.125000  1  0  1

Processed_kplr002580872-2013098041711_llc.fits.txt  316036.291979  0.250000  1  0  1

Processed_kplr002580872-2013131215648_llc.fits.txt  122721.025731  0.135000  1  0  1

Processed_kplr002835289-2009166043257_llc.fits.txt  729852.069954  2.330000  1  0  1

Processed_kplr002835289-2009259160929_llc.fits.txt  1691462.353412  2.330000  1  0  0

Processed_kplr002835289-2009350155506_llc.fits.txt  1826397.210080  2.330000  1  0  0

Processed_kplr002835289-2010078095331_llc.fits.txt  1861373.241245  2.330000  1  0  0

Processed_kplr002835289-2010174085026_llc.fits.txt  1927180.224843  2.330000  1  0  1

Processed_kplr002835289-2010265121752_llc.fits.txt  1730870.389031  2.330000  1  0  1

Processed_kplr002835289-2010355172524_llc.fits.txt  1866195.330492  2.330000  1  0  1

Processed_kplr002835289-2011073133259_llc.fits.txt  1425430.070186  2.330000  1  0  0

Processed_kplr002835289-2011177032512_llc.fits.txt  1999805.555947  2.330000  1  0  0

Processed_kplr002835289-2011271113734_llc.fits.txt  1779292.134514  2.330000  1  0  0

Processed_kplr002835289-2012004120508_llc.fits.txt  1904116.902225  2.330000  1  0  0

Processed_kplr002835289-2012088054726_llc.fits.txt  1589700.908698  2.330000  1  0  0

Processed_kplr002835289-2012179063303_llc.fits.txt  1809479.014561  2.330000  1  0  0

Processed_kplr002835289-2012277125453_llc.fits.txt  1696141.113169  2.330000  1  0  0

Processed_kplr002835289-2013011073258_llc.fits.txt  1862078.155186  2.330000  1  0  1

Processed_kplr002835289-2013098041711_llc.fits.txt  1576889.564905  2.330000  1  0  0

