KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
 ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
2582756,5238,161,1,PHO,3.524,0.4,0,KIC,0.038,0.3,0,KIC,1,5248,3.509,0.04,3.756,1.659,DSEP,4.41E-02,  ,292.93918,37.81746
,,,,,,,,,,,,,,,,,,,,,,,
2692189,5275,160,1,PHO,3.548,0.4,0,KIC,-0.245,0.3,0,KIC,1,5277,3.566,-0.26,3.201,1.377,DSEP,5.91E-02,  ,285.59256,37.92498
,,,,,,,,,,,,,,,,,,,,,,,
2697306,4942,147,1,PHO,3.51,0.4,0,KIC,-0.068,0.3,0,KIC,1,4940,3.504,-0.06,3.003,1.05,DSEP,5.46E-02,  ,287.24899,37.92257
,,,,,,,,,,,,,,,,,,,,,,,
2709587,5070,152,1,PHO,3.549,0.4,0,KIC,-0.184,0.3,0,KIC,1,5066,3.549,-0.18,2.942,1.117,DSEP,6.18E-02,  ,290.64014,37.97389
,,,,,,,,,,,,,,,,,,,,,,,
2711573,5154,154,1,PHO,3.555,0.4,0,KIC,0.089,0.3,0,KIC,1,5154,3.57,0.08,3.344,1.516,DSEP,5.71E-02,  ,291.11981,37.98298
,,,,,,,,,,,,,,,,,,,,,,,
2716180,5119,161,1,PHO,3.523,0.4,0,KIC,0.073,0.3,0,KIC,1,5119,3.541,0.08,3.459,1.517,DSEP,5.16E-02,  ,292.12753,37.91495
,,,,,,,,,,,,,,,,,,,,,,,
2717201,4978,150,1,PHO,3.552,0.4,0,KIC,-0.219,0.3,0,KIC,1,4979,3.545,-0.22,2.71,0.939,DSEP,6.65E-02,  ,292.33841,37.99616
,,,,,,,,,,,,,,,,,,,,,,,
2833327,5482,165,1,PHO,3.579,0.4,0,KIC,-0.093,0.3,0,KIC,1,5486,3.567,-0.08,3.409,1.566,DSEP,5.57E-02,  ,286.23883,38.02073
,,,,,,,,,,,,,,,,,,,,,,,
2849057,4768,136,1,PHO,3.52,0.4,0,KIC,-0.038,0.3,0,KIC,1,4811,3.485,0.04,2.89,0.929,DSEP,5.42E-02,  ,290.71027,38.04946
,,,,,,,,,,,,,,,,,,,,,,,
2852827,5032,152,1,PHO,3.555,0.4,0,KIC,-0.042,0.3,0,KIC,1,5030,3.558,-0.04,3.072,1.243,DSEP,6.04E-02,  ,291.51816,38.00361
,,,,,,,,,,,,,,,,,,,,,,,
2853280,7543,264,0,KIC,3.585,0.4,0,KIC,0.052,0.3,0,KIC,1,7543,3.581,0.07,4.04,2.269,DSEP,4.85E-02,  ,291.61664,38.03478
,,,,,,,,,,,,,,,,,,,,,,,
2853780,5303,167,1,PHO,3.595,0.4,0,KIC,0.027,0.3,0,KIC,1,5295,3.617,0.02,3.152,1.501,DSEP,6.75E-02,  ,291.72916,38.07002
,,,,,,,,,,,,,,,,,,,,,,,
2855642,5081,154,1,PHO,3.524,0.4,0,KIC,-0.047,0.3,0,KIC,1,5076,3.51,-0.04,3.413,1.376,DSEP,4.87E-02,  ,292.11841,38.01959
,,,,,,,,,,,,,,,,,,,,,,,
2855771,5171,162,1,PHO,3.519,0.4,0,KIC,-0.345,0.3,0,KIC,1,5168,3.508,-0.34,3.148,1.164,DSEP,5.25E-02,  ,292.14648,38.02936
,,,,,,,,,,,,,,,,,,,,,,,
2856756,10556,369,0,KIC,3.504,0.4,0,KIC,-0.089,0.3,0,KIC,1,10546,3.573,0.07,5.04,3.467,DSEP,3.81E-02,  ,292.34329,38.04982
,,,,,,,,,,,,,,,,,,,,,,,
2858074,5378,183,1,PHO,3.534,0.4,0,KIC,0.335,0.3,0,KIC,1,5374,3.518,0.34,3.876,1.804,DSEP,4.37E-02,  ,292.62051,38.08423
,,,,,,,,,,,,,,,,,,,,,,,
2860090,5479,177,1,PHO,3.586,0.4,0,KIC,-0.037,0.3,0,KIC,1,5473,3.574,-0.04,3.395,1.577,DSEP,5.67E-02,  ,293.06146,38.09554
,,,,,,,,,,,,,,,,,,,,,,,
2860851,10758,376,0,KIC,3.585,0.4,0,KIC,-0.073,0.3,0,KIC,1,10752,3.594,0.07,4.924,3.469,DSEP,4.09E-02,  ,293.22049,38.03665
,,,,,,,,,,,,,,,,,,,,,,,
2865242,5196,149,1,PHO,3.592,0.4,0,KIC,-0.04,0.3,0,KIC,1,5192,3.608,-0.04,3.084,1.405,DSEP,6.75E-02,  ,294.13095,38.08473
,,,,,,,,,,,,,,,,,,,,,,,
2972005,7156,232,1,PHO,3.51,0.4,0,KIC,0.016,0.3,0,KIC,1,7174,3.513,0.04,4.2,2.094,DSEP,3.98E-02,  ,286.52029,38.19193
,,,,,,,,,,,,,,,,,,,,,,,
2973845,5433,179,1,PHO,3.592,0.4,0,KIC,-1.074,0.3,0,KIC,1,5431,3.582,-1.08,2.43,0.822,DSEP,8.07E-02,  ,287.13217,38.10746
,,,,,,,,,,,,,,,,,,,,,,,
2975145,5476,161,1,PHO,3.536,0.4,0,KIC,-0.391,0.3,0,KIC,1,5472,3.538,-0.38,3.372,1.43,DSEP,5.25E-02,  ,287.5386,38.1562
,,,,,,,,,,,,,,,,,,,,,,,
2986397,5092,151,1,PHO,3.57,0.4,0,KIC,0.043,0.3,0,KIC,1,5094,3.583,0.04,3.161,1.394,DSEP,6.22E-02,  ,290.68365,38.11616
,,,,,,,,,,,,,,,,,,,,,,,
2987660,7529,263,0,KIC,3.587,0.4,0,KIC,-0.007,0.3,0,KIC,1,7524,3.608,0.02,3.755,2.086,DSEP,5.55E-02,  ,290.98938,38.11436
,,,,,,,,,,,,,,,,,,,,,,,
2992960,5757,178,1,PHO,3.596,0.4,0,KIC,0.336,0.3,0,KIC,1,5745,3.594,0.32,3.406,1.662,DSEP,5.93E-02,  ,292.15576,38.13802
,,,,,,,,,,,,,,,,,,,,,,,
2996903,4992,144,1,PHO,3.596,0.4,0,KIC,-0.264,0.3,0,KIC,1,4995,3.587,-0.26,2.54,0.911,DSEP,7.83E-02,  ,293.01413,38.17806
,,,,,,,,,,,,,,,,,,,,,,,
3002336,7647,267,0,KIC,3.515,0.4,0,KIC,-0.336,0.3,0,KIC,1,7643,3.561,-0.34,3.838,1.958,DSEP,4.88E-02,  ,294.15433,38.19091
,,,,,,,,,,,,,,,,,,,,,,,
3097912,8106,283,0,KIC,3.564,0.4,0,KIC,0.052,0.3,0,KIC,1,8107,3.559,0.07,4.414,2.576,DSEP,4.22E-02,  ,285.90298,38.20227
,,,,,,,,,,,,,,,,,,,,,,,
3098263,6640,184,1,PHO,3.575,0.4,0,KIC,-0.29,0.3,0,KIC,1,6643,3.579,-0.28,3.435,1.633,DSEP,5.68E-02,  ,286.02905,38.24439
,,,,,,,,,,,,,,,,,,,,,,,
3099303,5359,162,1,PHO,3.545,0.4,0,KIC,-0.25,0.3,0,KIC,1,5356,3.571,-0.28,3.219,1.409,DSEP,5.95E-02,  ,286.40182,38.21842
,,,,,,,,,,,,,,,,,,,,,,,
3099759,5076,147,1,PHO,3.571,0.4,0,KIC,-0.433,0.3,0,KIC,1,5078,3.561,-0.44,2.572,0.878,DSEP,7.26E-02,  ,286.56339,38.23182
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3101899,5085,150,1,PHO,3.579,0.4,0,KIC,-0.203,0.3,0,KIC,1,5083,3.564,-0.2,2.884,1.112,DSEP,6.53E-02,  ,287.31543,38.20015
,,,,,,,,,,,,,,,,,,,,,,,
3102411,5008,143,1,PHO,3.592,0.4,0,KIC,-0.631,0.3,0,KIC,1,5065,3.488,-0.5,2.725,0.834,DSEP,5.80E-02,  ,287.48843,38.23099
,,,,,,,,,,,,,,,,,,,,,,,
3109620,5111,155,1,PHO,3.585,0.4,0,KIC,-0.281,0.3,0,KIC,1,5105,3.582,-0.28,2.748,1.053,DSEP,7.15E-02,  ,289.69165,38.26467
,,,,,,,,,,,,,,,,,,,,,,,
3110638,5276,170,1,PHO,3.518,0.4,0,KIC,-1.197,0.3,0,KIC,1,5328,3.409,-1.14,2.886,0.779,DSEP,4.56E-02,  ,289.95645,38.21852
,,,,,,,,,,,,,,,,,,,,,,,
3113323,5281,156,1,PHO,3.575,0.4,0,KIC,-0.622,0.3,0,KIC,1,5282,3.581,-0.62,2.651,0.975,DSEP,7.37E-02,  ,290.6507,38.22175
,,,,,,,,,,,,,,,,,,,,,,,
3113809,5479,161,1,PHO,3.565,0.4,0,KIC,-0.664,0.3,0,KIC,1,5489,3.564,-0.66,2.945,1.158,DSEP,6.39E-02,  ,290.77707,38.21552
,,,,,,,,,,,,,,,,,,,,,,,
3115178,5046,176,10,PHO,3.552,0.03,10,AST,-0.2,0.3,10,PHO,1,5046,3.552,-0.2,2.98,1.16,MULT,6.15E-02,10,291.117,38.21392
,,,,,,,,,,,,,,,,,,,,,,,
3118655,5144,171,1,PHO,3.537,0.4,0,KIC,0.396,0.3,0,KIC,1,5129,3.535,0.4,3.721,1.73,DSEP,4.73E-02,  ,291.92001,38.21948
,,,,,,,,,,,,,,,,,,,,,,,
3121340,5106,158,1,PHO,3.538,0.4,0,KIC,-0.838,0.3,0,KIC,1,5160,3.424,-0.72,2.897,0.812,DSEP,4.70E-02,  ,292.52948,38.28285
,,,,,,,,,,,,,,,,,,,,,,,
3130768,5244,171,1,PHO,3.586,0.4,0,KIC,-0.745,0.3,0,KIC,1,5242,3.577,-0.74,2.458,0.832,DSEP,7.89E-02,  ,294.62292,38.25391
,,,,,,,,,,,,,,,,,,,,,,,
3215815,5021,147,1,PHO,3.555,0.4,0,KIC,-0.468,0.3,0,KIC,1,5044,3.534,-0.44,2.602,0.843,DSEP,6.74E-02,  ,285.26974,38.38669
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3218680,5057,145,1,PHO,3.505,0.4,0,KIC,0.194,0.3,0,KIC,1,5064,3.515,0.2,3.647,1.587,DSEP,4.61E-02,  ,286.39963,38.38521
,,,,,,,,,,,,,,,,,,,,,,,
3228580,5282,167,1,PHO,3.51,0.4,0,KIC,-0.122,0.3,0,KIC,1,5274,3.508,-0.14,3.631,1.551,DSEP,4.56E-02,  ,289.70514,38.34984
,,,,,,,,,,,,,,,,,,,,,,,
3228689,5233,162,1,PHO,3.566,0.4,0,KIC,-0.333,0.3,0,KIC,1,5232,3.571,-0.34,2.992,1.216,DSEP,6.40E-02,  ,289.72958,38.32208
,,,,,,,,,,,,,,,,,,,,,,,
3229705,5095,153,1,PHO,3.596,0.4,0,KIC,-0.15,0.3,0,KIC,1,5094,3.588,-0.16,2.875,1.169,DSEP,6.93E-02,  ,289.98825,38.36225
,,,,,,,,,,,,,,,,,,,,,,,
3232488,5127,159,1,PHO,3.524,0.4,0,KIC,-0.418,0.3,0,KIC,1,5123,3.528,-0.42,2.815,0.976,DSEP,6.16E-02,  ,290.75562,38.36561
,,,,,,,,,,,,,,,,,,,,,,,
3233199,5141,155,1,PHO,3.579,0.4,0,KIC,0.084,0.3,0,KIC,1,5143,3.571,0.1,3.345,1.521,DSEP,5.72E-02,  ,290.95169,38.38021
,,,,,,,,,,,,,,,,,,,,,,,
3233647,5185,164,1,PHO,3.558,0.4,0,KIC,-0.15,0.3,0,KIC,1,5180,3.561,-0.14,3.22,1.378,DSEP,5.81E-02,  ,291.0813,38.34639
,,,,,,,,,,,,,,,,,,,,,,,
3235687,5217,164,1,PHO,3.577,0.4,0,KIC,-0.127,0.3,0,KIC,1,5216,3.567,-0.14,3.24,1.414,DSEP,5.86E-02,  ,291.60995,38.39496
,,,,,,,,,,,,,,,,,,,,,,,
3240866,5066,155,1,PHO,3.593,0.4,0,KIC,-0.43,0.3,0,KIC,1,5068,3.584,-0.42,2.496,0.872,DSEP,7.90E-02,  ,292.89987,38.37003
,,,,,,,,,,,,,,,,,,,,,,,
3323298,5065,149,1,PHO,3.556,0.4,0,KIC,-0.205,0.3,0,KIC,1,5062,3.546,-0.2,2.918,1.091,DSEP,6.19E-02,  ,285.33963,38.47063
,,,,,,,,,,,,,,,,,,,,,,,
3329196,5161,180,10,PHO,3.563,0.03,10,AST,-0.2,0.3,10,PHO,1,5161,3.563,-0.2,2.83,1.07,MULT,6.63E-02,10,287.61392,38.48134
,,,,,,,,,,,,,,,,,,,,,,,
3331147,7247,253,0,KIC,3.553,0.4,0,KIC,-0.201,0.3,0,KIC,1,7256,3.6,-0.22,3.567,1.849,DSEP,5.74E-02,  ,288.28232,38.45954
,,,,,,,,,,,,,,,,,,,,,,,
3335197,5338,164,1,PHO,3.505,0.4,0,KIC,-0.144,0.3,0,KIC,1,5334,3.492,-0.14,3.773,1.61,DSEP,4.22E-02,  ,289.5325,38.44096
,,,,,,,,,,,,,,,,,,,,,,,
3335435,4995,150,1,PHO,3.595,0.4,0,KIC,0.253,0.3,0,KIC,1,4992,3.599,0.24,3.125,1.414,DSEP,6.53E-02,  ,289.59985,38.40602
,,,,,,,,,,,,,,,,,,,,,,,
3336111,5191,158,1,PHO,3.515,0.4,0,KIC,0.041,0.3,0,KIC,1,5198,3.527,0.06,3.615,1.605,DSEP,4.78E-02,  ,289.78268,38.4178
,,,,,,,,,,,,,,,,,,,,,,,
3336434,5304,160,1,PHO,3.508,0.4,0,KIC,-0.45,0.3,0,KIC,1,5303,3.511,-0.46,3.262,1.26,DSEP,5.11E-02,  ,289.86502,38.46426
,,,,,,,,,,,,,,,,,,,,,,,
3347135,5198,157,1,PHO,3.523,0.4,0,KIC,-0.476,0.3,0,KIC,1,5198,3.531,-0.48,2.885,1.032,DSEP,6.05E-02,  ,292.68982,38.43269
,,,,,,,,,,,,,,,,,,,,,,,
3347570,5177,160,1,PHO,3.561,0.4,0,KIC,-0.031,0.3,0,KIC,1,5170,3.568,-0.04,3.272,1.444,DSEP,5.80E-02,  ,292.8017,38.44226
,,,,,,,,,,,,,,,,,,,,,,,
3352479,5737,181,1,PHO,3.581,0.4,0,KIC,0.012,0.3,0,KIC,1,5729,3.581,0.02,3.382,1.589,DSEP,5.79E-02,  ,294.0058,38.46587
,,,,,,,,,,,,,,,,,,,,,,,
3426335,5295,160,1,PHO,3.598,0.4,0,KIC,-0.234,0.3,0,KIC,1,5299,3.605,-0.22,3.031,1.352,DSEP,6.84E-02,  ,285.91666,38.57218
,,,,,,,,,,,,,,,,,,,,,,,
3428926,5382,168,1,PHO,3.552,0.4,0,KIC,-1.257,0.3,0,KIC,1,5402,3.511,-1.24,2.552,0.771,DSEP,6.54E-02,  ,286.89951,38.58232
,,,,,,,,,,,,,,,,,,,,,,,
3433065,5212,157,1,PHO,3.533,0.4,0,KIC,-0.929,0.3,0,KIC,1,5243,3.475,-0.86,2.711,0.799,DSEP,5.65E-02,  ,288.34604,38.55948
,,,,,,,,,,,,,,,,,,,,,,,
3433279,5304,163,1,PHO,3.508,0.4,0,KIC,-0.118,0.3,0,KIC,1,5313,3.495,-0.1,3.768,1.622,DSEP,4.27E-02,  ,288.41559,38.54082
,,,,,,,,,,,,,,,,,,,,,,,
3433482,5102,178,0,KIC,3.569,0.4,0,KIC,-0.249,0.3,0,KIC,0,5102,3.56,-0.24,2.886,1.103,DSEP,6.47E-02,  ,288.48999,38.52346
,,,,,,,,,,,,,,,,,,,,,,,
3440985,7517,263,0,KIC,3.572,0.4,0,KIC,-0.194,0.3,0,KIC,1,7537,3.565,-0.18,3.881,2.018,DSEP,4.86E-02,  ,290.70685,38.59454
,,,,,,,,,,,,,,,,,,,,,,,
3441159,7229,253,0,KIC,3.52,0.4,0,KIC,0.071,0.3,0,KIC,1,7234,3.535,0.08,4.108,2.108,DSEP,4.28E-02,  ,290.76141,38.532
,,,,,,,,,,,,,,,,,,,,,,,
3456198,7905,276,0,KIC,3.529,0.4,0,KIC,-0.088,0.3,0,KIC,1,7892,3.674,-0.14,3.435,2.032,DSEP,7.06E-02,  ,294.54794,38.55414
,,,,,,,,,,,,,,,,,,,,,,,
3456224,5053,156,1,PHO,3.571,0.4,0,KIC,-0.496,0.3,0,KIC,1,5069,3.556,-0.48,2.523,0.836,DSEP,7.33E-02,  ,294.55423,38.58331
,,,,,,,,,,,,,,,,,,,,,,,
3456923,5392,174,1,PHO,3.519,0.4,0,KIC,0.175,0.3,0,KIC,1,5382,3.512,0.16,3.865,1.768,DSEP,4.31E-02,  ,294.71722,38.51051
,,,,,,,,,,,,,,,,,,,,,,,
3459226,7359,257,0,KIC,3.589,0.4,0,KIC,0.206,0.3,0,KIC,1,7360,3.589,0.21,3.962,2.22,DSEP,5.03E-02,  ,295.20883,38.54086
,,,,,,,,,,,,,,,,,,,,,,,
3531118,4968,148,1,PHO,3.503,0.4,0,KIC,0.141,0.3,0,KIC,1,4971,3.511,0.14,3.434,1.394,DSEP,4.85E-02,  ,287.20892,38.67498
,,,,,,,,,,,,,,,,,,,,,,,
3533409,5033,149,1,PHO,3.529,0.4,0,KIC,-0.26,0.3,0,KIC,1,5035,3.528,-0.26,2.842,0.994,DSEP,6.10E-02,  ,288.08499,38.68805
,,,,,,,,,,,,,,,,,,,,,,,
3544421,5335,172,1,PHO,3.579,0.4,0,KIC,-0.079,0.3,0,KIC,1,5344,3.615,-0.08,3.129,1.471,DSEP,6.76E-02,  ,291.37097,38.64345
,,,,,,,,,,,,,,,,,,,,,,,
3548653,5043,176,0,KIC,3.505,0.4,0,KIC,-0.403,0.3,0,KIC,0,5043,3.497,-0.4,2.782,0.886,DSEP,5.80E-02,  ,292.48398,38.64876
,,,,,,,,,,,,,,,,,,,,,,,
3557619,5187,161,1,PHO,3.561,0.4,0,KIC,-0.445,0.3,0,KIC,1,5188,3.552,-0.44,2.83,1.04,DSEP,6.46E-02,  ,294.6842,38.60061
,,,,,,,,,,,,,,,,,,,,,,,
