KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
 ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
,,,,,,,,,,,,,,,,,,,,,,,
5617594,5271,175,1,PHO,3.588,0.4,0,KIC,-1.049,0.3,0,KIC,1,5314,3.496,-1,2.627,0.789,DSEP,6.13E-02,  ,291.07388,40.81716
,,,,,,,,,,,,,,,,,,,,,,,
5629080,5203,182,10,PHO,3.556,0.03,10,AST,-0.2,0.3,10,PHO,1,5203,3.556,-0.2,3.18,1.33,MULT,5.82E-02,10,294.47864,40.83168
,,,,,,,,,,,,,,,,,,,,,,,
5630362,7581,265,0,KIC,3.53,0.4,0,KIC,-0.285,0.3,0,KIC,1,7557,3.548,-0.3,3.913,1.973,DSEP,4.64E-02,  ,294.8302,40.89969
,,,,,,,,,,,,,,,,,,,,,,,
5632609,8144,285,0,KIC,3.565,0.4,0,KIC,-0.243,0.3,0,KIC,1,8132,3.708,-0.26,3.268,1.987,DSEP,8.02E-02,  ,295.40002,40.86908
,,,,,,,,,,,,,,,,,,,,,,,
5632912,7606,266,0,KIC,3.557,0.4,0,KIC,-0.642,0.3,0,KIC,1,7596,3.507,-0.64,3.991,1.865,DSEP,4.13E-02,  ,295.47119,40.86929
,,,,,,,,,,,,,,,,,,,,,,,
5638053,5153,161,1,PHO,3.578,0.4,0,KIC,0.137,0.3,0,KIC,1,5157,3.566,0.14,3.423,1.572,DSEP,5.52E-02,  ,296.64246,40.81482
,,,,,,,,,,,,,,,,,,,,,,,
5639284,5011,148,1,PHO,3.531,0.4,0,KIC,0.145,0.3,0,KIC,1,5016,3.541,0.14,3.353,1.425,DSEP,5.32E-02,  ,296.90106,40.87658
,,,,,,,,,,,,,,,,,,,,,,,
5643103,10448,365,0,KIC,3.529,0.4,0,KIC,-0.171,0.3,0,KIC,1,10449,3.497,0.07,5.511,3.473,DSEP,2.92E-02,  ,297.68365,40.82268
,,,,,,,,,,,,,,,,,,,,,,,
5650108,8457,295,0,KIC,3.551,0.4,0,KIC,-0.161,0.3,0,KIC,1,8439,3.751,-0.14,3.144,2.032,DSEP,9.21E-02,  ,299.13235,40.82613
,,,,,,,,,,,,,,,,,,,,,,,
5650215,5861,210,1,PHO,3.541,0.4,0,KIC,0.063,0.3,0,KIC,1,5869,3.547,0.08,3.601,1.667,DSEP,5.03E-02,  ,299.15131,40.87814
,,,,,,,,,,,,,,,,,,,,,,,
5653243,5190,181,54,PHO,3.566,0.4,54,PHO,-0.54,0.3,54,PHO,0,5190,3.56,-0.54,2.666,0.94,DSEP,6.99E-02,  ,299.73065,40.82633
,,,,,,,,,,,,,,,,,,,,,,,
5693423,5258,160,1,PHO,3.535,0.4,0,KIC,-0.176,0.3,0,KIC,1,5251,3.546,-0.18,3.354,1.442,DSEP,5.38E-02,  ,287.75784,40.90711
,,,,,,,,,,,,,,,,,,,,,,,
5695835,5213,159,1,PHO,3.582,0.4,0,KIC,-0.55,0.3,0,KIC,1,5210,3.577,-0.56,2.609,0.937,DSEP,7.43E-02,  ,288.69827,40.94071
,,,,,,,,,,,,,,,,,,,,,,,
5696036,5017,144,1,PHO,3.547,0.4,0,KIC,-0.08,0.3,0,KIC,1,5017,3.557,-0.08,2.944,1.138,DSEP,6.28E-02,  ,288.76266,40.96079
,,,,,,,,,,,,,,,,,,,,,,,
5698201,5364,166,1,PHO,3.515,0.4,0,KIC,-0.377,0.3,0,KIC,1,5355,3.497,-0.38,3.534,1.431,DSEP,4.57E-02,  ,289.49908,40.91143
,,,,,,,,,,,,,,,,,,,,,,,
5702251,5135,145,1,PHO,3.559,0.4,0,KIC,-0.511,0.3,0,KIC,1,5132,3.554,-0.52,2.605,0.884,DSEP,7.05E-02,  ,290.73547,40.94995
,,,,,,,,,,,,,,,,,,,,,,,
5702396,5118,160,1,PHO,3.51,0.4,0,KIC,-0.032,0.3,0,KIC,1,5120,3.514,-0.04,3.481,1.445,DSEP,4.83E-02,  ,290.78775,40.99338
,,,,,,,,,,,,,,,,,,,,,,,
5706754,5212,160,1,PHO,3.577,0.4,0,KIC,-0.329,0.3,0,KIC,1,5215,3.586,-0.32,2.899,1.182,DSEP,6.83E-02,  ,292.22052,40.97461
,,,,,,,,,,,,,,,,,,,,,,,
5709663,5151,159,1,PHO,3.572,0.4,0,KIC,-0.53,0.3,0,KIC,1,5152,3.574,-0.54,2.539,0.881,DSEP,7.58E-02,  ,293.10648,40.94718
,,,,,,,,,,,,,,,,,,,,,,,
5724523,7350,257,0,KIC,3.586,0.4,0,KIC,-0.18,0.3,0,KIC,1,7333,3.629,-0.18,3.462,1.863,DSEP,6.32E-02,  ,296.85254,40.99063
,,,,,,,,,,,,,,,,,,,,,,,
5726667,7751,271,0,KIC,3.522,0.4,0,KIC,-0.239,0.3,0,KIC,1,7733,3.607,-0.22,3.684,2.002,DSEP,5.64E-02,  ,297.30737,40.9081
,,,,,,,,,,,,,,,,,,,,,,,
5738563,5300,165,1,PHO,3.508,0.4,0,KIC,0.096,0.3,0,KIC,1,5296,3.488,0.08,3.947,1.747,DSEP,4.00E-02,  ,299.69373,40.98603
,,,,,,,,,,,,,,,,,,,,,,,
5770538,5435,165,1,PHO,3.502,0.4,0,KIC,-0.368,0.3,0,KIC,1,5438,3.509,-0.34,3.56,1.492,DSEP,4.66E-02,  ,284.02792,41.08064
,,,,,,,,,,,,,,,,,,,,,,,
5775254,5447,169,1,PHO,3.526,0.4,0,KIC,-0.766,0.3,0,KIC,1,5445,3.529,-0.76,2.98,1.096,DSEP,5.83E-02,  ,286.30923,41.03766
,,,,,,,,,,,,,,,,,,,,,,,
5788235,5162,155,1,PHO,3.507,0.4,0,KIC,-0.456,0.3,0,KIC,1,5165,3.511,-0.46,2.932,1.018,DSEP,5.69E-02,  ,290.90518,41.00472
,,,,,,,,,,,,,,,,,,,,,,,
5791353,4804,140,1,PHO,3.509,0.4,0,KIC,-0.447,0.3,0,KIC,1,4910,3.372,-0.22,3.213,0.886,DSEP,3.76E-02,  ,291.95398,41.05936
,,,,,,,,,,,,,,,,,,,,,,,
5792663,5167,160,1,PHO,3.509,0.4,0,KIC,0.142,0.3,0,KIC,1,5174,3.499,0.14,3.833,1.688,DSEP,4.22E-02,  ,292.36642,41.08232
,,,,,,,,,,,,,,,,,,,,,,,
5793667,5080,159,1,PHO,3.58,0.4,0,KIC,0.123,0.3,0,KIC,1,5080,3.592,0.14,3.192,1.453,DSEP,6.29E-02,  ,292.68417,41.0201
,,,,,,,,,,,,,,,,,,,,,,,
5794479,5118,152,1,PHO,3.554,0.4,0,KIC,-0.164,0.3,0,KIC,1,5119,3.545,-0.16,3.17,1.287,DSEP,5.69E-02,  ,292.94659,41.03658
,,,,,,,,,,,,,,,,,,,,,,,
5794680,4975,149,1,PHO,3.545,0.4,0,KIC,-0.046,0.3,0,KIC,1,4975,3.555,-0.04,2.904,1.105,DSEP,6.36E-02,  ,293.00012,41.04039
,,,,,,,,,,,,,,,,,,,,,,,
5807853,5081,156,1,PHO,3.58,0.4,0,KIC,-0.028,0.3,0,KIC,1,5079,3.569,-0.02,3.156,1.349,DSEP,6.04E-02,  ,296.40561,41.00845
,,,,,,,,,,,,,,,,,,,,,,,
5824148,5146,152,1,PHO,3.59,0.4,0,KIC,-0.666,0.3,0,KIC,1,5157,3.556,-0.64,2.496,0.817,DSEP,7.40E-02,  ,299.74969,41.009
,,,,,,,,,,,,,,,,,,,,,,,
5866944,5251,161,1,PHO,3.568,0.4,0,KIC,-0.437,0.3,0,KIC,1,5256,3.579,-0.44,2.836,1.111,DSEP,6.87E-02,  ,288.76428,41.11645
,,,,,,,,,,,,,,,,,,,,,,,
5878633,5267,167,1,PHO,3.514,0.4,0,KIC,0.106,0.3,0,KIC,1,5283,3.493,0.12,3.936,1.759,DSEP,4.06E-02,  ,292.56366,41.16709
,,,,,,,,,,,,,,,,,,,,,,,
5894182,6295,195,1,PHO,3.554,0.4,0,KIC,-0.073,0.3,0,KIC,1,6296,3.534,-0.06,3.692,1.702,DSEP,4.76E-02,  ,296.67538,41.16477
,,,,,,,,,,,,,,,,,,,,,,,
5896655,5270,166,1,PHO,3.506,0.4,0,KIC,-0.111,0.3,0,KIC,1,5266,3.51,-0.12,3.63,1.556,DSEP,4.58E-02,  ,297.23526,41.14544
,,,,,,,,,,,,,,,,,,,,,,,
5903029,7619,266,0,KIC,3.546,0.4,0,KIC,-0.111,0.3,0,KIC,1,7627,3.606,-0.1,3.727,2.047,DSEP,5.57E-02,  ,298.6015,41.17772
,,,,,,,,,,,,,,,,,,,,,,,
5940273,8229,288,0,KIC,3.594,0.4,0,KIC,-0.421,0.3,0,KIC,1,8207,3.676,-0.44,3.331,1.92,DSEP,7.32E-02,  ,283.95068,41.26126
,,,,,,,,,,,,,,,,,,,,,,,
5949878,5653,179,1,PHO,3.537,0.4,0,KIC,-0.548,0.3,0,KIC,1,5653,3.523,-0.54,3.378,1.388,DSEP,5.07E-02,  ,288.42279,41.21878
,,,,,,,,,,,,,,,,,,,,,,,
5956596,5004,143,1,PHO,3.551,0.4,0,KIC,-0.143,0.3,0,KIC,1,5000,3.548,-0.14,2.85,1.049,DSEP,6.38E-02,  ,290.58859,41.23831
,,,,,,,,,,,,,,,,,,,,,,,
5965884,5072,163,1,PHO,3.537,0.4,0,KIC,0.279,0.3,0,KIC,1,5069,3.553,0.28,3.508,1.602,DSEP,5.23E-02,  ,293.54074,41.29798
,,,,,,,,,,,,,,,,,,,,,,,
5982591,6174,221,1,PHO,3.533,0.4,0,KIC,-0.218,0.3,0,KIC,1,6164,3.536,-0.22,3.556,1.582,DSEP,4.96E-02,  ,297.5741,41.20284
,,,,,,,,,,,,,,,,,,,,,,,
5983796,6975,256,1,PHO,3.545,0.4,0,KIC,-0.119,0.3,0,KIC,1,6977,3.543,-0.14,3.84,1.878,DSEP,4.67E-02,  ,297.83853,41.21657
,,,,,,,,,,,,,,,,,,,,,,,
5987910,5565,209,1,PHO,3.532,0.4,0,KIC,-0.527,0.3,0,KIC,1,5579,3.521,-0.52,3.395,1.393,DSEP,5.01E-02,  ,298.74646,41.2111
,,,,,,,,,,,,,,,,,,,,,,,
5989623,5785,207,1,PHO,3.598,0.4,0,KIC,0.058,0.3,0,KIC,1,5792,3.584,0.07,3.384,1.603,DSEP,5.83E-02,  ,299.08826,41.25388
,,,,,,,,,,,,,,,,,,,,,,,
6021857,5041,152,1,PHO,3.555,0.4,0,KIC,0.111,0.3,0,KIC,1,5044,3.542,0.12,3.378,1.449,DSEP,5.30E-02,  ,283.52341,41.30978
,,,,,,,,,,,,,,,,,,,,,,,
6023571,4841,141,1,PHO,3.569,0.4,0,KIC,0.252,0.3,0,KIC,1,4842,3.562,0.26,3.035,1.227,DSEP,6.18E-02,  ,284.3486,41.31939
,,,,,,,,,,,,,,,,,,,,,,,
6026326,4980,147,1,PHO,3.509,0.4,0,KIC,-0.408,0.3,0,KIC,1,4996,3.486,-0.36,2.77,0.858,DSEP,5.69E-02,  ,285.70764,41.38358
,,,,,,,,,,,,,,,,,,,,,,,
6033295,4769,133,1,PHO,3.579,0.4,0,KIC,-0.03,0.3,0,KIC,1,4811,3.539,0.06,2.718,0.932,DSEP,6.54E-02,  ,288.80203,41.39068
,,,,,,,,,,,,,,,,,,,,,,,
6035800,4841,139,1,PHO,3.502,0.4,0,KIC,-0.05,0.3,0,KIC,1,4847,3.486,-0.04,2.866,0.917,DSEP,5.49E-02,  ,289.66388,41.34009
,,,,,,,,,,,,,,,,,,,,,,,
6037948,5276,164,1,PHO,3.503,0.4,0,KIC,-0.109,0.3,0,KIC,1,5266,3.51,-0.12,3.63,1.556,DSEP,4.58E-02,  ,290.33691,41.33873
,,,,,,,,,,,,,,,,,,,,,,,
6038976,5579,162,1,PHO,3.544,0.4,0,KIC,-0.354,0.3,0,KIC,1,5570,3.554,-0.36,3.312,1.434,DSEP,5.56E-02,  ,290.66766,41.37999
,,,,,,,,,,,,,,,,,,,,,,,
6041330,4984,149,1,PHO,3.591,0.4,0,KIC,-0.665,0.3,0,KIC,1,5059,3.466,-0.5,2.799,0.834,DSEP,5.36E-02,  ,291.46936,41.37646
,,,,,,,,,,,,,,,,,,,,,,,
6042403,5219,164,1,PHO,3.537,0.4,0,KIC,0.079,0.3,0,KIC,1,5231,3.517,0.1,3.74,1.677,DSEP,4.52E-02,  ,291.81238,41.30023
,,,,,,,,,,,,,,,,,,,,,,,
6044566,5032,151,1,PHO,3.534,0.4,0,KIC,-0.523,0.3,0,KIC,1,5055,3.488,-0.48,2.731,0.837,DSEP,5.79E-02,  ,292.49185,41.34205
,,,,,,,,,,,,,,,,,,,,,,,
6060703,4985,142,1,PHO,3.572,0.4,0,KIC,-0.305,0.3,0,KIC,1,4985,3.582,-0.3,2.495,0.867,DSEP,7.87E-02,  ,296.79382,41.33524
,,,,,,,,,,,,,,,,,,,,,,,
6099953,5369,163,1,PHO,3.518,0.4,0,KIC,-0.006,0.3,0,KIC,1,5381,3.492,0.02,3.906,1.729,DSEP,4.09E-02,  ,282.30585,41.41453
,,,,,,,,,,,,,,,,,,,,,,,
6106152,9317,326,0,KIC,3.544,0.4,0,KIC,-0.145,0.3,0,KIC,1,9313,3.533,0.07,4.961,3.066,DSEP,3.54E-02,  ,285.29047,41.41497
,,,,,,,,,,,,,,,,,,,,,,,
6114200,4956,141,1,PHO,3.596,0.4,0,KIC,-0.242,0.3,0,KIC,1,4956,3.583,-0.24,2.507,0.879,DSEP,7.85E-02,  ,288.79391,41.41239
,,,,,,,,,,,,,,,,,,,,,,,
6119013,5447,190,10,PHO,3.543,0.03,10,AST,-0.2,0.3,10,PHO,1,5447,3.543,-0.2,3.51,1.57,MULT,5.14E-02,10,290.34082,41.40521
,,,,,,,,,,,,,,,,,,,,,,,
6119906,5462,164,1,PHO,3.558,0.4,0,KIC,-0.228,0.3,0,KIC,1,5450,3.568,-0.24,3.297,1.468,DSEP,5.77E-02,  ,290.62067,41.4956
,,,,,,,,,,,,,,,,,,,,,,,
6124015,5268,165,1,PHO,3.594,0.4,0,KIC,-0.142,0.3,0,KIC,1,5267,3.591,-0.16,3.143,1.407,DSEP,6.38E-02,  ,291.9715,41.40334
,,,,,,,,,,,,,,,,,,,,,,,
6125282,5214,169,1,PHO,3.544,0.4,0,KIC,0.296,0.3,0,KIC,1,5196,3.54,0.28,3.689,1.719,DSEP,4.83E-02,  ,292.36398,41.4633
,,,,,,,,,,,,,,,,,,,,,,,
6126865,5258,162,1,PHO,3.546,0.4,0,KIC,-0.177,0.3,0,KIC,1,5251,3.546,-0.18,3.354,1.442,DSEP,5.38E-02,  ,292.86078,41.49954
,,,,,,,,,,,,,,,,,,,,,,,
6129110,5214,171,1,PHO,3.528,0.4,0,KIC,0.135,0.3,0,KIC,1,5222,3.522,0.14,3.727,1.688,DSEP,4.59E-02,  ,293.54526,41.46487
,,,,,,,,,,,,,,,,,,,,,,,
6131613,5318,159,1,PHO,3.55,0.4,0,KIC,-0.321,0.3,0,KIC,1,5310,3.566,-0.32,3.182,1.359,DSEP,5.94E-02,  ,294.26874,41.42868
,,,,,,,,,,,,,,,,,,,,,,,
6132032,5501,171,1,PHO,3.514,0.4,0,KIC,-0.071,0.3,0,KIC,1,5516,3.534,-0.06,3.617,1.632,DSEP,4.85E-02,  ,294.38162,41.49877
,,,,,,,,,,,,,,,,,,,,,,,
6138109,7214,241,1,PHO,3.522,0.4,0,KIC,-0.897,0.3,0,KIC,1,7206,3.477,-0.88,3.919,1.678,DSEP,3.93E-02,  ,295.93753,41.49586
,,,,,,,,,,,,,,,,,,,,,,,
6143455,8315,291,0,KIC,3.594,0.4,0,KIC,-0.184,0.3,0,KIC,1,8311,3.745,-0.18,3.151,2.016,DSEP,9.08E-02,  ,297.09961,41.41293
,,,,,,,,,,,,,,,,,,,,,,,
6143495,5388,162,1,PHO,3.511,0.4,0,KIC,-0.111,0.3,0,KIC,1,5381,3.51,-0.12,3.697,1.616,DSEP,4.50E-02,  ,297.10605,41.47184
,,,,,,,,,,,,,,,,,,,,,,,
6182529,5008,145,1,PHO,3.501,0.4,0,KIC,-0.042,0.3,0,KIC,1,5008,3.507,-0.04,3.262,1.245,DSEP,5.05E-02,  ,282.9198,41.5741
,,,,,,,,,,,,,,,,,,,,,,,
6186203,5035,144,1,PHO,3.532,0.4,0,KIC,-0.453,0.3,0,KIC,1,5044,3.534,-0.44,2.602,0.843,DSEP,6.74E-02,  ,284.69464,41.56417
,,,,,,,,,,,,,,,,,,,,,,,
6191127,5183,152,1,PHO,3.549,0.4,0,KIC,-0.098,0.3,0,KIC,1,5178,3.542,-0.12,3.346,1.421,DSEP,5.34E-02,  ,286.9993,41.55973
,,,,,,,,,,,,,,,,,,,,,,,
6195655,5318,186,0,KIC,3.504,0.4,0,KIC,-0.454,0.3,0,KIC,0,5319,3.505,-0.46,3.364,1.32,DSEP,4.88E-02,  ,288.80865,41.57226
,,,,,,,,,,,,,,,,,,,,,,,
6197161,5135,153,1,PHO,3.537,0.4,0,KIC,-0.563,0.3,0,KIC,1,5134,3.538,-0.56,2.615,0.86,DSEP,6.77E-02,  ,289.34528,41.59768
,,,,,,,,,,,,,,,,,,,,,,,
6198951,5364,166,1,PHO,3.561,0.4,0,KIC,-0.713,0.3,0,KIC,1,5362,3.548,-0.72,2.815,1.02,DSEP,6.44E-02,  ,289.91113,41.55037
,,,,,,,,,,,,,,,,,,,,,,,
6199731,8071,282,0,KIC,3.55,0.4,0,KIC,-0.413,0.3,0,KIC,1,8040,3.64,-0.42,3.479,1.928,DSEP,6.45E-02,  ,290.13315,41.58875
,,,,,,,,,,,,,,,,,,,,,,,
6208517,4906,145,1,PHO,3.557,0.4,0,KIC,-0.487,0.3,0,KIC,1,4981,3.462,-0.34,2.855,0.862,DSEP,5.22E-02,  ,292.94305,41.58064
,,,,,,,,,,,,,,,,,,,,,,,
6208741,7142,266,1,PHO,3.588,0.4,0,KIC,-0.279,0.3,0,KIC,1,7141,3.56,-0.28,3.714,1.828,DSEP,5.03E-02,  ,293.01572,41.55129
,,,,,,,,,,,,,,,,,,,,,,,
6212763,5146,159,1,PHO,3.541,0.4,0,KIC,-0.343,0.3,0,KIC,1,5142,3.535,-0.34,2.942,1.082,DSEP,5.99E-02,  ,294.19202,41.5791
,,,,,,,,,,,,,,,,,,,,,,,
6228306,7869,275,0,KIC,3.545,0.4,0,KIC,-0.025,0.3,0,KIC,1,7866,3.559,0.07,4.301,2.443,DSEP,4.32E-02,  ,297.96741,41.50601
,,,,,,,,,,,,,,,,,,,,,,,
6278261,5093,158,1,PHO,3.519,0.4,0,KIC,0.078,0.3,0,KIC,1,5092,3.513,0.08,3.575,1.517,DSEP,4.68E-02,  ,289.60223,41.69824
,,,,,,,,,,,,,,,,,,,,,,,
6287359,5203,163,1,PHO,3.535,0.4,0,KIC,-0.524,0.3,0,KIC,1,5198,3.537,-0.52,2.808,0.989,DSEP,6.29E-02,  ,292.561,41.62336
,,,,,,,,,,,,,,,,,,,,,,,
6290527,5190,155,1,PHO,3.512,0.4,0,KIC,-0.314,0.3,0,KIC,1,5190,3.506,-0.32,3.264,1.248,DSEP,5.05E-02,  ,293.56314,41.62181
,,,,,,,,,,,,,,,,,,,,,,,
6293109,4994,147,1,PHO,3.517,0.4,0,KIC,-0.114,0.3,0,KIC,1,4992,3.523,-0.12,2.965,1.071,DSEP,5.79E-02,  ,294.29187,41.68916
,,,,,,,,,,,,,,,,,,,,,,,
6293850,5036,155,1,PHO,3.59,0.4,0,KIC,0.191,0.3,0,KIC,1,5033,3.593,0.2,3.174,1.439,DSEP,6.34E-02,  ,294.49423,41.69176
,,,,,,,,,,,,,,,,,,,,,,,
6313425,5789,167,1,PHO,3.569,0.4,0,KIC,-0.08,0.3,0,KIC,1,5796,3.56,-0.08,3.437,1.564,DSEP,5.42E-02,  ,299.08102,41.69456
,,,,,,,,,,,,,,,,,,,,,,,
6314677,5320,171,1,PHO,3.549,0.4,0,KIC,-0.431,0.3,0,KIC,1,5318,3.552,-0.42,3.125,1.269,DSEP,5.86E-02,  ,299.33429,41.64239
,,,,,,,,,,,,,,,,,,,,,,,
6350070,5068,149,1,PHO,3.507,0.4,0,KIC,-0.689,0.3,0,KIC,1,5114,3.438,-0.62,2.868,0.821,DSEP,4.90E-02,  ,286.66986,41.7098
,,,,,,,,,,,,,,,,,,,,,,,
6350145,5484,178,1,PHO,3.506,0.4,0,KIC,0.383,0.3,0,KIC,1,5478,3.506,0.38,3.926,1.803,DSEP,4.20E-02,  ,286.70956,41.76234
,,,,,,,,,,,,,,,,,,,,,,,
6350199,5935,188,1,PHO,3.576,0.4,0,KIC,0.074,0.3,0,KIC,1,5933,3.595,0.08,3.345,1.605,DSEP,6.04E-02,  ,286.73718,41.79815
,,,,,,,,,,,,,,,,,,,,,,,
6359298,5242,163,1,PHO,3.52,0.4,0,KIC,-0.119,0.3,0,KIC,1,5229,3.514,-0.14,3.547,1.498,DSEP,4.73E-02,  ,290.2066,41.79526
,,,,,,,,,,,,,,,,,,,,,,,
6361986,5085,150,1,PHO,3.585,0.4,0,KIC,-0.167,0.3,0,KIC,1,5081,3.582,-0.16,2.866,1.144,DSEP,6.84E-02,  ,291.11856,41.76076
,,,,,,,,,,,,,,,,,,,,,,,
6362517,5123,159,1,PHO,3.591,0.4,0,KIC,0.183,0.3,0,KIC,1,5114,3.575,0.16,3.345,1.534,DSEP,5.77E-02,  ,291.31064,41.78812
,,,,,,,,,,,,,,,,,,,,,,,
6366132,4722,143,1,PHO,3.517,0.4,0,KIC,-0.925,0.3,0,KIC,1,4923,2.935,-0.5,5.172,0.839,DSEP,8.54E-03,  ,292.48816,41.74373
,,,,,,,,,,,,,,,,,,,,,,,
6366976,6089,213,54,PHO,3.573,0.4,54,PHO,-0.4,0.3,54,PHO,0,6074,3.571,-0.42,3.224,1.413,DSEP,5.94E-02,  ,292.7821,41.76562
,,,,,,,,,,,,,,,,,,,,,,,
6367159,7778,272,0,KIC,3.574,0.4,0,KIC,-0.313,0.3,0,KIC,1,7776,3.6,-0.3,3.683,1.972,DSEP,5.56E-02,  ,292.8381,41.74875
,,,,,,,,,,,,,,,,,,,,,,,
6367260,7567,264,0,KIC,3.568,0.4,0,KIC,-0.197,0.3,0,KIC,1,7575,3.57,-0.2,3.849,2.01,DSEP,4.97E-02,  ,292.87241,41.78051
,,,,,,,,,,,,,,,,,,,,,,,
6368004,5454,182,1,PHO,3.507,0.4,0,KIC,-0.023,0.3,0,KIC,1,5455,3.491,-0.02,3.9,1.719,DSEP,4.08E-02,  ,293.10712,41.76236
,,,,,,,,,,,,,,,,,,,,,,,
6368244,5152,159,1,PHO,3.503,0.4,0,KIC,-0.442,0.3,0,KIC,1,5149,3.498,-0.44,2.985,1.022,DSEP,5.41E-02,  ,293.16809,41.72313
,,,,,,,,,,,,,,,,,,,,,,,
6370079,5053,148,1,PHO,3.582,0.4,0,KIC,-0.547,0.3,0,KIC,1,5074,3.534,-0.5,2.586,0.833,DSEP,6.79E-02,  ,293.71695,41.75563
,,,,,,,,,,,,,,,,,,,,,,,
6386823,7250,253,0,KIC,3.567,0.4,0,KIC,-0.177,0.3,0,KIC,1,7217,3.594,-0.2,3.599,1.857,DSEP,5.61E-02,  ,297.94418,41.70221
,,,,,,,,,,,,,,,,,,,,,,,
6389421,5015,146,1,PHO,3.518,0.4,0,KIC,-0.487,0.3,0,KIC,1,5036,3.487,-0.44,2.743,0.844,DSEP,5.76E-02,  ,298.50229,41.70768
,,,,,,,,,,,,,,,,,,,,,,,
6389938,4943,148,1,PHO,3.505,0.4,0,KIC,-0.123,0.3,0,KIC,1,4945,3.504,-0.12,2.924,0.995,DSEP,5.61E-02,  ,298.60941,41.7021
,,,,,,,,,,,,,,,,,,,,,,,
6422225,5377,160,1,PHO,3.582,0.4,0,KIC,0.043,0.3,0,KIC,1,5387,3.585,0.06,3.384,1.603,DSEP,5.83E-02,  ,283.40512,41.82807
,,,,,,,,,,,,,,,,,,,,,,,
6423280,6962,217,1,PHO,3.58,0.4,0,KIC,-0.08,0.3,0,KIC,1,6977,3.558,-0.06,3.802,1.906,DSEP,4.88E-02,  ,283.90512,41.82449
,,,,,,,,,,,,,,,,,,,,,,,
6425048,5324,167,1,PHO,3.54,0.4,0,KIC,-1.011,0.3,0,KIC,1,5332,3.535,-1,2.512,0.788,DSEP,7.01E-02,  ,284.82016,41.83589
,,,,,,,,,,,,,,,,,,,,,,,
6429215,5384,154,1,PHO,3.582,0.4,0,KIC,-0.207,0.3,0,KIC,1,5372,3.556,-0.22,3.353,1.475,DSEP,5.51E-02,  ,286.80435,41.89876
,,,,,,,,,,,,,,,,,,,,,,,
6430073,5040,146,1,PHO,3.592,0.4,0,KIC,-0.422,0.3,0,KIC,1,5045,3.58,-0.42,2.469,0.846,DSEP,7.92E-02,  ,287.18015,41.86676
,,,,,,,,,,,,,,,,,,,,,,,
6430216,5460,173,1,PHO,3.504,0.4,0,KIC,-0.022,0.3,0,KIC,1,5455,3.491,-0.02,3.9,1.719,DSEP,4.08E-02,  ,287.24142,41.89787
,,,,,,,,,,,,,,,,,,,,,,,
6437115,5084,152,1,PHO,3.507,0.4,0,KIC,-0.402,0.3,0,KIC,1,5088,3.503,-0.4,2.862,0.952,DSEP,5.72E-02,  ,289.90955,41.86519
,,,,,,,,,,,,,,,,,,,,,,,
6437663,5246,160,1,PHO,3.576,0.4,0,KIC,-0.012,0.3,0,KIC,1,5248,3.593,-0.02,3.227,1.489,DSEP,6.24E-02,  ,290.08273,41.80114
,,,,,,,,,,,,,,,,,,,,,,,
6440939,5136,150,1,PHO,3.595,0.4,0,KIC,-0.286,0.3,0,KIC,1,5132,3.604,-0.28,2.705,1.072,DSEP,7.63E-02,  ,291.14563,41.81008
,,,,,,,,,,,,,,,,,,,,,,,
6441836,8438,295,0,KIC,3.541,0.4,0,KIC,-0.225,0.3,0,KIC,1,8452,3.76,-0.2,3.092,2.009,DSEP,9.57E-02,  ,291.45963,41.80376
,,,,,,,,,,,,,,,,,,,,,,,
6442702,5396,156,1,PHO,3.539,0.4,0,KIC,-0.314,0.3,0,KIC,1,5386,3.525,-0.34,3.434,1.441,DSEP,5.01E-02,  ,291.75455,41.88634
,,,,,,,,,,,,,,,,,,,,,,,
6443122,7704,269,0,KIC,3.536,0.4,0,KIC,-0.595,0.3,0,KIC,1,7696,3.537,-0.58,3.871,1.88,DSEP,4.56E-02,  ,291.90137,41.82775
,,,,,,,,,,,,,,,,,,,,,,,
6444709,5148,156,1,PHO,3.57,0.4,0,KIC,-0.6,0.3,0,KIC,1,5149,3.58,-0.6,2.446,0.829,DSEP,7.98E-02,  ,292.44376,41.81025
,,,,,,,,,,,,,,,,,,,,,,,
6447614,5065,155,1,PHO,3.59,0.4,0,KIC,-0.763,0.3,0,KIC,1,5132,3.469,-0.64,2.762,0.819,DSEP,5.47E-02,  ,293.35538,41.88883
,,,,,,,,,,,,,,,,,,,,,,,
6450010,5208,169,1,PHO,3.539,0.4,0,KIC,-0.043,0.3,0,KIC,1,5214,3.569,-0.04,3.313,1.484,DSEP,5.75E-02,  ,294.08432,41.87784
,,,,,,,,,,,,,,,,,,,,,,,
